base_model,correction,dataset,n,role,rmse_mean_loss,mae_mean_loss,bias_observed_minus_pred_mean_loss,r2_mean_loss,spearman_mean_loss,rmse_domain_macro,mae_domain_macro,rmse_pooled_all_domains
B1_Q_mapped,C2_mixture_conditioned,A14_A15_est_70b,63,provided_estimates_extrapolation_audit,0.16779466600646262,0.1403701343428153,0.07145864039248034,-1.5952714219384596,0.28033794162826425,1.0690077652951542,0.9775085054170358,1.2569151324635175
M1_Q_mapped,C0_none,A4_A5_train_1m,507,base_fit,0.26353672902229197,0.21077326773890928,-3.25840603676969e-16,0.3047082596599703,0.5538960420718513,0.46967673733579685,0.39538982335705175,0.5411110982786685
M1_Q_mapped,C0_none,A6_A7_test_1m,256,external_retrospective_evaluation,0.2278106822496394,0.1783615224912445,-0.04422052800161631,0.3270095320593942,0.630141336690318,0.4503063439887575,0.3820205212767261,0.5195626921940655
M1_Q_mapped,C0_none,A8_A9_test_60m,256,external_retrospective_evaluation,1.5161393818245115,1.5035913166898864,-1.5035913166898864,-46.98075684602144,0.5680032616159303,1.5556661892820416,1.5094546945023342,1.6146119586466126
M1_Q_mapped,C0_none,A10_A11_test_1b,64,external_retrospective_evaluation,3.1883636063993213,3.184623977110216,-3.184623977110216,-3767.1418022545095,0.34885531135531134,3.1999860097193005,3.1847482939311798,3.250975641812081
M1_Q_mapped,C0_none,A12_A13_est_10b,63,provided_estimates_extrapolation_audit,3.5729285529157666,3.566199951951509,-3.566199951951509,-1380.8733046076716,-0.4415802611367128,3.5952534838744725,3.567535617183855,3.6122512669574047
M1_Q_mapped,C0_none,A14_A15_est_70b,63,provided_estimates_extrapolation_audit,3.95579005650524,3.949113016664573,-3.949113016664573,-1441.4240383688543,-0.5048963133640553,3.978514407010687,3.950109976158214,3.9975796076492895
M1_Q_mapped,C1_global,A4_A5_train_1m,507,base_fit,0.26353672902229197,0.21077326773890928,-3.25840603676969e-16,0.3047082596599703,0.5538960420718513,0.46967673733579685,0.39538982335705175,0.5411110982786685
M1_Q_mapped,C1_global,A6_A7_test_1m,256,paired_calibration_member,0.2278106822496394,0.1783615224912445,-0.04422052800161631,0.3270095320593942,0.630141336690318,0.4503063439887575,0.3820205212767261,0.5195626921940655
M1_Q_mapped,C1_global,A8_A9_test_60m,256,paired_calibration_member,0.19961771612441473,0.15516909930017253,-0.0442205280016162,0.16826112313834196,0.5680032616159303,0.535092029118809,0.45929405301080506,0.5900342231397825
M1_Q_mapped,C1_global,A10_A11_test_1b,64,external_retrospective_evaluation,0.7387631400634843,0.7224530199881986,-0.7224530199881986,-201.3028441125518,0.34885531135531134,0.8217043414486463,0.7838302749495509,0.9741412187974845
M1_Q_mapped,C1_global,A12_A13_est_10b,63,provided_estimates_extrapolation_audit,0.3581874704754943,0.30266278987489276,-0.2833053424554836,-12.888020327977973,-0.4415802611367128,0.5975378009512899,0.4968586439674001,0.6409672654670093
M1_Q_mapped,C1_global,A14_A15_est_70b,63,provided_estimates_extrapolation_audit,0.23136694578983444,0.18862182654599272,0.027373542846066655,-3.9343404378304134,-0.5048963133640553,0.5609797896953057,0.44777248713556117,0.6212072214260157
M1_Q_mapped,C1_domain,A4_A5_train_1m,507,base_fit,0.26353672902229197,0.21077326773890928,-3.25840603676969e-16,0.3047082596599703,0.5538960420718513,0.46967673733579685,0.39538982335705175,0.5411110982786685
M1_Q_mapped,C1_domain,A6_A7_test_1m,256,paired_calibration_member,0.2278106822496394,0.1783615224912445,-0.04422052800161631,0.3270095320593942,0.630141336690318,0.4503063439887575,0.3820205212767261,0.5195626921940655
M1_Q_mapped,C1_domain,A8_A9_test_60m,256,paired_calibration_member,0.19961771612441476,0.15516909930017259,-0.04422052800161631,0.16826112313834163,0.5680032616159303,0.3773913089374027,0.30187178222411537,0.41575735724844093
M1_Q_mapped,C1_domain,A10_A11_test_1b,64,external_retrospective_evaluation,0.7387631400634839,0.722453019988198,-0.722453019988198,-201.30284411255155,0.34885531135531134,0.7978728518755738,0.7634729609568048,0.8252596604290234
M1_Q_mapped,C1_domain,A12_A13_est_10b,63,provided_estimates_extrapolation_audit,0.3581874704754942,0.30266278987489265,-0.2833053424554836,-12.88802032797796,-0.4415802611367128,0.8981728702201592,0.8012555371080634,1.0135910420899574
M1_Q_mapped,C1_domain,A14_A15_est_70b,63,provided_estimates_extrapolation_audit,0.23136694578983444,0.18862182654599272,0.027373542846066752,-3.9343404378304134,-0.5048963133640553,0.9790932313494345,0.86422950278929,1.145521336690098
M1_Q_mapped,C2_mixture_conditioned,A4_A5_train_1m,507,base_fit,0.26353672902229197,0.21077326773890928,-3.25840603676969e-16,0.3047082596599703,0.5538960420718513,0.46967673733579685,0.39538982335705175,0.5411110982786685
M1_Q_mapped,C2_mixture_conditioned,A6_A7_test_1m,256,paired_calibration_member,0.2278106822496394,0.1783615224912445,-0.04422052800161631,0.3270095320593942,0.630141336690318,0.4503063439887575,0.3820205212767261,0.5195626921940655
M1_Q_mapped,C2_mixture_conditioned,A8_A9_test_60m,256,paired_calibration_member,0.1949233842928229,0.1518507027361665,-0.04422052800161629,0.20692050217747726,0.5442092011902037,0.3534086758726501,0.29150506439536916,0.37919349580364253
M1_Q_mapped,C2_mixture_conditioned,A10_A11_test_1b,64,external_retrospective_evaluation,0.6952784017875543,0.6864842054291325,-0.6864842054291325,-178.18804389750713,0.26149267399267395,0.7295693604293132,0.7039511301901149,0.769504193176906
M1_Q_mapped,C2_mixture_conditioned,A12_A13_est_10b,63,provided_estimates_extrapolation_audit,0.32062601575877436,0.2687423708661249,-0.2649752142477178,-10.127999056258176,-0.2654569892473118,0.8498945022401961,0.7905035736420033,0.9961584360673821
M1_Q_mapped,C2_mixture_conditioned,A14_A15_est_70b,63,provided_estimates_extrapolation_audit,0.19605022564489913,0.1605017622014249,0.049576359909230594,-2.5429186090150524,-0.2319028417818741,0.9456298734327272,0.8839603077667421,1.141263628515266
