base_model,correction,dataset,role,n,domain,rmse,mae,bias_observed_minus_pred,r2,spearman
ilr_ridge_qproxy,C1_domain,A4_A5_train_1m,base_fit,512,metric/the_pile_uspto_backgrounds_val_loss,0.22617224728433175,0.17663049102563957,-1.0234868508263162e-16,0.8184762826981291,0.8894377603540815
ilr_ridge_qproxy,C1_domain,A6_A7_test_1m,same_scale_retrospective; also_scale_calibration_member,256,metric/the_pile_arxiv_val_loss,0.3861820770200112,0.30647085521047457,-0.1078842786875957,0.7546060384612048,0.91919203479057
ilr_ridge_qproxy,C1_domain,A6_A7_test_1m,same_scale_retrospective; also_scale_calibration_member,256,metric/the_pile_freelaw_val_loss,0.3005501218692758,0.24332827346531066,-0.030942436775858017,0.8336972095830276,0.9183988040741587
ilr_ridge_qproxy,C1_domain,A6_A7_test_1m,same_scale_retrospective; also_scale_calibration_member,256,metric/the_pile_pubmed_central_val_loss,0.30762941579156156,0.24773292685356393,-0.08943528600400528,0.8646501842790286,0.9442492561226824
ilr_ridge_qproxy,C1_domain,A6_A7_test_1m,same_scale_retrospective; also_scale_calibration_member,256,metric/the_pile_wikipedia_en_val_loss,0.2462413027209796,0.19897748752849673,-0.0341562714824139,0.7968833998090251,0.904234378576333
ilr_ridge_qproxy,C1_domain,A6_A7_test_1m,same_scale_retrospective; also_scale_calibration_member,256,metric/the_pile_dm_mathematics_val_loss,0.5972903323561842,0.48839507851867864,-0.07443435249944377,0.8482727674101165,0.9007245651178757
ilr_ridge_qproxy,C1_domain,A6_A7_test_1m,same_scale_retrospective; also_scale_calibration_member,256,metric/the_pile_github_val_loss,0.4447340622331138,0.35637465994346634,-0.07303121129187923,0.766968726832723,0.9081118390936139
ilr_ridge_qproxy,C1_domain,A6_A7_test_1m,same_scale_retrospective; also_scale_calibration_member,256,metric/the_pile_stackexchange_val_loss,0.34479789388804677,0.2751811247397149,-0.05559602705767736,0.7303915317817237,0.8994814316777292
ilr_ridge_qproxy,C1_domain,A6_A7_test_1m,same_scale_retrospective; also_scale_calibration_member,256,metric/the_pile_gutenberg_pg_19_val_loss,0.2396971918965584,0.18884594596990553,-0.032680834171885664,0.7145651154981494,0.8756280041199358
ilr_ridge_qproxy,C1_domain,A6_A7_test_1m,same_scale_retrospective; also_scale_calibration_member,256,metric/the_pile_pile_cc_val_loss,0.18046570091110534,0.14474398882152256,-0.02793722304624179,0.6829378528702525,0.8487489986266878
