axis,donor_index,to1_index,to2_index,step,minimum_corner_weight,loss00,loss10,loss01,loss11,interaction_loss,complementarity_benefit,all_corners_training_hull_supported,is_empirical_complementarity_evidence
Q_A_topsis_0_1,0,7,16,0.0004926438107742593,0.00185031941115398,2.3855781852659437,2.3834148205796284,2.385514805782854,2.3833514410965386,0.0,-0.0,True,False
Q_A_topsis_0_1,0,8,9,0.0002058083478348299,0.001882251598724808,2.385578185265944,2.385519059017837,2.3846337936809685,2.3845746674328616,4.440892098500626e-16,-4.440892098500626e-16,True,False
Q_A_topsis_0_1,0,8,10,0.001,0.0018702225036902644,2.3855781852659437,2.3852908973656763,2.385252300352736,2.3849650124524686,0.0,-0.0,True,False
Q_A_topsis_0_1,0,8,11,0.001,0.0018752996684801182,2.3855781852659437,2.3852908973656763,2.385446222744704,2.385158934844437,4.440892098500626e-16,-4.440892098500626e-16,True,False
Q_A_topsis_0_1,0,8,12,0.001,0.0018562726624715123,2.3855781852659437,2.3852908973656763,2.3832599002932566,2.3829726123929897,4.440892098500626e-16,-4.440892098500626e-16,True,False
Q_A_topsis_0_1,0,8,13,0.001,0.0018459349206691794,2.3855781852659437,2.3852908973656763,2.3842834860892004,2.3839961981889335,4.440892098500626e-16,-4.440892098500626e-16,True,False
Q_A_topsis_0_1,0,8,14,0.001,0.001827557784386793,2.3855781852659437,2.3852908973656763,2.3835569802044962,2.3832696923042294,4.440892098500626e-16,-4.440892098500626e-16,True,False
Q_A_topsis_0_1,0,8,15,0.001,0.0018729150680312592,2.3855781852659437,2.3852908973656763,2.3852397722268694,2.384952484326603,8.881784197001252e-16,-8.881784197001252e-16,True,False
Q_A_topsis_0_1,0,8,16,0.001,0.0018755988350498086,2.3855781852659437,2.3852908973656763,2.3854495335266876,2.3851622456264208,4.440892098500626e-16,-4.440892098500626e-16,True,False
Q_A_topsis_0_1,0,9,10,0.00020519812164724194,0.0018791807628922566,2.3855781852659437,2.384636593822375,2.38551131429388,2.3845697228503115,4.440892098500626e-16,-4.440892098500626e-16,True,False
Q_A_topsis_0_1,0,9,11,0.0002061869316992268,0.001882183439080799,2.3855781852659437,2.384632056475362,2.38555097631859,2.384604847528008,0.0,-0.0,True,False
