pair,role,scale_low,scale_high,log10_scale_gap,index,target,loss_low,loss_high,delta_low_minus_high
A6_A8_1m_vs_60m,validation,1M,60M,1.7781512503836439,4,metric/the_pile_arxiv_val_loss,4.036879062652588,2.649466753005981,1.387412309646607
A6_A8_1m_vs_60m,validation,1M,60M,1.7781512503836439,4,metric/the_pile_freelaw_val_loss,6.015463829040527,4.599228382110596,1.4162354469299316
A6_A8_1m_vs_60m,validation,1M,60M,1.7781512503836439,4,metric/the_pile_pubmed_central_val_loss,4.318847179412842,2.914285182952881,1.404561996459961
A6_A8_1m_vs_60m,validation,1M,60M,1.7781512503836439,4,metric/the_pile_wikipedia_en_val_loss,5.785333156585693,4.403463363647461,1.3818697929382324
A6_A8_1m_vs_60m,validation,1M,60M,1.7781512503836439,4,metric/the_pile_dm_mathematics_val_loss,5.331811428070068,3.15556263923645,2.176248788833618
A6_A8_1m_vs_60m,validation,1M,60M,1.7781512503836439,4,metric/the_pile_github_val_loss,4.567320346832275,2.173018217086792,2.3943021297454834
A6_A8_1m_vs_60m,validation,1M,60M,1.7781512503836439,4,metric/the_pile_stackexchange_val_loss,4.527230739593506,2.9588091373443604,1.5684216022491455
A6_A8_1m_vs_60m,validation,1M,60M,1.7781512503836439,4,metric/the_pile_gutenberg_pg_19_val_loss,4.84527587890625,3.923354387283325,0.9219214916229248
A6_A8_1m_vs_60m,validation,1M,60M,1.7781512503836439,4,metric/the_pile_pile_cc_val_loss,5.847572326660156,4.733434200286865,1.114138126373291
A6_A8_1m_vs_60m,validation,1M,60M,1.7781512503836439,4,metric/the_pile_ubuntu_irc_val_loss,7.271598815917969,5.012126445770264,2.259472370147705
A6_A8_1m_vs_60m,validation,1M,60M,1.7781512503836439,4,metric/the_pile_hackernews_val_loss,5.007454872131348,4.0578155517578125,0.9496393203735352
A6_A8_1m_vs_60m,validation,1M,60M,1.7781512503836439,4,metric/the_pile_pubmed_abstracts_val_loss,5.406200885772705,4.005099296569824,1.4011015892028809
