mapping_id,grid,N_params_B,D_tokens_B,anchor,Q_A,mapped_q,L_m1_frozen,epsilon_q,q_in_B6_fitted_range,epsilon_q_valid
M2_minmax_observed,cell_11,0.41,50.0,ALL_p05,42.88931989600419,0.39481125518142657,2.836817337954011,-0.05041542949815256,True,True
M2_minmax_observed,cell_11,0.41,50.0,ALL_p25,49.31734182463843,0.4797316742023895,2.8060551339840787,-0.06193091731022126,True,True
M2_minmax_observed,cell_11,0.41,50.0,ALL_mean,54.23226387916365,0.5446625728457819,2.7825340824979103,-0.07090753036876998,True,True
M2_minmax_observed,cell_11,0.41,50.0,ALL_p50,53.29782328546341,0.5323177041368349,2.7870059795232054,-0.06918920316222356,True,True
M2_minmax_observed,cell_11,0.41,50.0,ALL_p75,58.24080169435776,0.597619254497922,2.763350660403022,-0.07834186415565984,True,True
M2_minmax_observed,cell_11,0.41,50.0,ALL_p95,68.9340289627691,0.7388871827037635,2.7121767157619203,-0.09868825476501268,True,True
M2_minmax_observed,cell_11,0.41,50.0,ALL_p99,75.06870741496967,0.8199322492115612,2.682818348299624,-0.11071131757518922,True,True
M2_minmax_observed,cell_11,0.41,50.0,ALL_min,20.573683268650814,0.1,2.9436119589542225,-0.012306222425259954,True,True
M2_minmax_observed,cell_11,0.41,50.0,ALL_max,88.69887391735354,1.0,2.61758926744931,-0.1383897158771772,True,True
M2_minmax_observed,cell_11,0.41,50.0,domain::arxiv::mean,63.53173283056447,0.6675175986675719,2.7380301645164375,-0.08831405185816725,True,True
M2_minmax_observed,cell_11,0.41,50.0,domain::book::mean,56.03252048079162,0.5684457127685768,2.7739187010645017,-0.0742336108521294,True,True
M2_minmax_observed,cell_11,0.41,50.0,domain::c4::mean,66.00211266187863,0.700153717950492,2.7262078140176675,-0.09303358574976822,True,True
M2_minmax_observed,cell_11,0.41,50.0,domain::commoncrawl::mean,64.33570995356357,0.6781389180915486,2.7341826187987284,-0.08984552895884072,True,True
M2_minmax_observed,cell_11,0.41,50.0,domain::github::mean,51.68987795824728,0.5110751831146633,2.7947010282765365,-0.06624525210569768,True,True
M2_minmax_observed,cell_11,0.41,50.0,domain::stackexchange::mean,61.387873335966574,0.6391951304768007,2.748289905971568,-0.08425122691026458,True,True
M2_minmax_observed,cell_11,0.41,50.0,domain::wikipedia::mean,61.100906920424926,0.6354040251378182,2.74966322415645,-0.08370969807363655,True,True
M2_minmax_observed,cell_12,0.41,150.0,ALL_p01,37.836087196915436,0.3280531384572941,2.7446808042210797,-0.04329698658178585,True,True
M2_minmax_observed,cell_12,0.41,150.0,ALL_p05,42.88931989600419,0.39481125518142657,2.7204978476719677,-0.05257102652117306,True,True
M2_minmax_observed,cell_12,0.41,150.0,ALL_p25,49.31734182463843,0.4797316742023895,2.6897356437020354,-0.06460916294045328,True,True
M2_minmax_observed,cell_12,0.41,150.0,ALL_mean,54.23226387916365,0.5446625728457819,2.666214592215867,-0.07400102772405939,True,True
M2_minmax_observed,cell_12,0.41,150.0,ALL_p50,53.29782328546341,0.5323177041368349,2.670686489241162,-0.07220268036266325,True,True
M2_minmax_observed,cell_12,0.41,150.0,ALL_p75,58.24080169435776,0.597619254497922,2.6470311701209788,-0.08178447027575134,True,True
M2_minmax_observed,cell_12,0.41,150.0,ALL_p95,68.9340289627691,0.7388871827037635,2.595857225479877,-0.10311044231000319,True,True
M2_minmax_observed,cell_12,0.41,150.0,ALL_p99,75.06870741496967,0.8199322492115612,2.5664988580175807,-0.11572900304524884,True,True
M2_minmax_observed,cell_12,0.41,150.0,ALL_min,20.573683268650814,0.1,2.827292468672179,-0.012812520778070961,True,True
M2_minmax_observed,cell_12,0.41,150.0,ALL_max,88.69887391735354,1.0,2.5012697771672667,-0.14482541559979592,True,True
M2_minmax_observed,cell_12,0.41,150.0,domain::arxiv::mean,63.53173283056447,0.6675175986675719,2.6217106742343943,-0.09223235054682168,True,True
M2_minmax_observed,cell_12,0.41,150.0,domain::book::mean,56.03252048079162,0.5684457127685768,2.6575992107824584,-0.07748271468279051,True,True
M2_minmax_observed,cell_12,0.41,150.0,domain::c4::mean,66.00211266187863,0.700153717950492,2.6098883237356243,-0.09717997744595944,True,True
M2_minmax_observed,cell_12,0.41,150.0,domain::commoncrawl::mean,64.33570995356357,0.6781389180915486,2.617863128516685,-0.09383763458834109,True,True
M2_minmax_observed,cell_12,0.41,150.0,domain::github::mean,51.68987795824728,0.5110751831146633,2.6783815379944933,-0.06912221860551532,True,True
M2_minmax_observed,cell_12,0.41,150.0,domain::stackexchange::mean,61.387873335966574,0.6391951304768007,2.631970415689525,-0.08797469572717045,True,True
M2_minmax_observed,cell_12,0.41,150.0,domain::wikipedia::mean,61.100906920424926,0.6354040251378182,2.6333437338744066,-0.0874073047652108,True,True
M2_minmax_observed,cell_13,0.41,300.0,ALL_p01,37.836087196915436,0.3280531384572941,2.687854220994086,-0.044212370977356946,True,True
M2_minmax_observed,cell_13,0.41,300.0,ALL_p05,42.88931989600419,0.39481125518142657,2.663671264444974,-0.053692573257743216,True,True
