Q0,cost_family,Lctx,budget_flops,feasible_grid_points,frontier_points,best_N_B,best_D_B,best_Q,best_loss,best_total_cost_flops,best_quality_cost_flops,best_base_train_attn_cost_flops,Q_on_lower_bound,Q_on_upper_bound
0.3,exponential,8192,1e+19,977,110,0.3058062134494701,3.6539259348445197,0.6,3.2987815290590548,9.651319376464407e+18,1.1162227423639009e+18,8.535096634100506e+18,False,False
0.3,exponential,8192,1e+22,3298,210,11.965825,99.63563236812982,1.0,2.1178869562689053,9.502603879785022e+21,3.959312250443929e+20,9.10667265474063e+21,False,True
0.3,exponential,8192,1e+24,3375,217,11.965825,299.893,1.0,2.0219298975598545,2.8601859772326953e+22,1.1917122423987162e+21,2.7410147529928236e+22,False,True
0.3,exponential,32768,1e+19,830,106,0.3058062134494701,2.1061238994135967,0.75,3.3983447564805522,9.853803354523148e+18,1.7684592448085376e+18,8.085344109714611e+18,False,False
0.3,exponential,32768,1e+22,3225,213,3.982848110223703,172.85840650016289,1.0,2.1632727580613644,9.329664906889561e+21,6.86903259588513e+20,8.642761647301048e+21,False,True
0.3,exponential,32768,1e+24,3375,224,11.965825,299.893,1.0,2.0219298975598545,4.623989354106167e+22,1.1917122423987162e+21,4.504818129866295e+22,False,True
0.3,exponential,131072,1e+19,548,95,0.21193206564500142,1.2139703865863611,0.8,3.6410862728247206,9.689756281295653e+18,1.4016595565840428e+18,8.28809672471161e+18,False,False
0.3,exponential,131072,1e+22,3059,206,2.7602226182022083,99.63563236812982,1.0,2.254558073510372,9.25542360155221e+21,3.959312250443929e+20,8.859492376507817e+21,False,True
0.3,exponential,131072,1e+24,3375,226,11.965825,299.893,1.0,2.0219298975598545,1.1679202861600054e+23,1.1917122423987162e+21,1.1560031637360182e+23,False,True
0.3,power,2048,1e+19,1001,87,0.3058062134494701,3.6539259348445197,0.6,3.2987815290590548,9.381803808561453e+18,2.2197600054180457e+18,7.162043803143408e+18,False,False
0.3,power,2048,1e+22,3314,195,8.292643830847549,172.85840650016289,0.9500000000000001,2.1134057684070773,9.884832116489056e+21,6.9697049683386e+20,9.187861619655196e+21,False,False
0.3,power,2048,1e+24,3375,201,11.965825,299.893,1.0,2.0219298975598545,2.4487958421244557e+22,1.4873193335e+21,2.3000639087744557e+22,False,True
0.3,power,4096,1e+19,991,86,0.3058062134494701,3.6539259348445197,0.6,3.2987815290590548,9.839488085547153e+18,2.2197600054180457e+18,7.619728080129107e+18,False,False
0.3,power,4096,1e+22,3309,192,11.965825,99.63563236812982,1.0,2.1178869562689053,8.624146868144187e+21,4.9414291872973986e+20,8.130003949414447e+21,False,True
0.3,power,4096,1e+24,3375,199,11.965825,299.893,1.0,2.0219298975598545,2.595779456863912e+22,1.4873193335e+21,2.447047523513912e+22,False,True
0.3,power,8192,1e+19,943,86,0.3058062134494701,3.6539259348445197,0.5,3.3350062725596006,9.528964488378214e+18,9.938678542777093e+17,8.535096634100506e+18,False,False
0.3,power,8192,1e+22,3297,190,11.965825,99.63563236812982,1.0,2.1178869562689053,9.60081557347037e+21,4.9414291872973986e+20,9.10667265474063e+21,False,True
0.3,power,8192,1e+24,3375,197,11.965825,299.893,1.0,2.0219298975598545,2.8897466863428236e+22,1.4873193335e+21,2.7410147529928236e+22,False,True
0.3,power,32768,1e+19,804,88,0.3058062134494701,2.1061238994135967,0.65,3.434569499981098,9.879827488386853e+18,1.7944833786722412e+18,8.085344109714611e+18,False,False
0.3,power,32768,1e+22,3225,197,3.982848110223703,172.85840650016289,1.0,2.1632727580613644,9.500052914338605e+21,8.572912670375578e+20,8.642761647301048e+21,False,True
0.3,power,32768,1e+24,3375,208,11.965825,299.893,1.0,2.0219298975598545,4.653550063216295e+22,1.4873193335e+21,4.504818129866295e+22,False,True
0.3,power,131072,1e+19,533,88,0.21193206564500142,1.2139703865863611,0.7000000000000001,3.6773110163252665,9.69630237315179e+18,1.4082056484401795e+18,8.28809672471161e+18,False,False
0.3,power,131072,1e+22,3058,203,2.7602226182022083,99.63563236812982,1.0,2.254558073510372,9.353635295237557e+21,4.9414291872973986e+20,8.859492376507817e+21,False,True
0.3,power,131072,1e+24,3375,223,11.965825,299.893,1.0,2.0219298975598545,1.1708763570710182e+23,1.4873193335e+21,1.1560031637360182e+23,False,True
