block,dataset,role,target,delta_r2_vs_p_only,delta_mae_vs_p_only,delta_rmse_vs_p_only,delta_mean_residual_vs_p_only
p_q_raw_coverage,A8_A9_validation_60m,cross_scale_diagnostic,metric/the_pile_pubmed_central_val_loss,0.0500491195853634,-0.005897163447139864,-0.004548842214627813,0.005897163447139864
p_q_raw_coverage,A8_A9_validation_60m,cross_scale_diagnostic,metric/the_pile_wikipedia_en_val_loss,0.017462243828362034,-0.0006276108250622414,-0.0015575455938423577,0.0006276108250622414
p_q_raw_coverage,A8_A9_validation_60m,cross_scale_diagnostic,metric/the_pile_dm_mathematics_val_loss,-0.06707686961521286,0.005034139116029346,0.01263363676265894,0.0038506575935399745
p_q_raw_coverage,A8_A9_validation_60m,cross_scale_diagnostic,metric/the_pile_github_val_loss,-0.02021939844705578,0.0023556433090714535,0.0018587760973769463,-0.0023556433090714535
p_q_raw_coverage,A8_A9_validation_60m,cross_scale_diagnostic,metric/the_pile_stackexchange_val_loss,-0.023408713377222057,0.0023267203598063,0.002109691062674335,-0.0023267203598063
p_q_raw_coverage,A8_A9_validation_60m,cross_scale_diagnostic,metric/the_pile_gutenberg_pg_19_val_loss,0.009764986134984,-0.00046985611630678825,-0.0007076374609911174,0.00046985611630678825
p_q_raw_coverage,A8_A9_validation_60m,cross_scale_diagnostic,metric/the_pile_pile_cc_val_loss,0.035433053076443954,2.3377239193100863e-05,-0.0015762184977532456,-2.3377239193100863e-05
p_q_raw_coverage,A8_A9_validation_60m,cross_scale_diagnostic,metric/the_pile_ubuntu_irc_val_loss,-0.02660573431665192,-0.00010181266809405898,0.0031652650356743806,0.00010181266809405898
p_q_raw_coverage,A8_A9_validation_60m,cross_scale_diagnostic,metric/the_pile_hackernews_val_loss,-0.015272207460206744,0.0005143184140037338,0.0007059996861626949,-0.0005143184140037338
p_q_raw_coverage,A8_A9_validation_60m,cross_scale_diagnostic,metric/the_pile_pubmed_abstracts_val_loss,0.14822584030232733,-0.008665668221385925,-0.015656445897193505,0.008665668221385925
p_q_raw_coverage,A8_A9_validation_60m,cross_scale_diagnostic,metric/the_pile_uspto_backgrounds_val_loss,0.09984004204085117,-0.005285595754435324,-0.006561043331457128,0.005285595754435324
p_q_raw_coverage,A10_A11_validation_1b,cross_scale_diagnostic,metric/the_pile_arxiv_val_loss,7.837715351967972,-0.01819525206805661,-0.01740413233649063,0.01819525206805661
p_q_raw_coverage,A10_A11_validation_1b,cross_scale_diagnostic,metric/the_pile_freelaw_val_loss,4.783159021997392,-0.01592857341020837,-0.015489748454716512,0.01592857341020837
p_q_raw_coverage,A10_A11_validation_1b,cross_scale_diagnostic,metric/the_pile_pubmed_central_val_loss,21.01805321025722,-0.010850010150507572,-0.010379136466331484,0.010850010150507572
p_q_raw_coverage,A10_A11_validation_1b,cross_scale_diagnostic,metric/the_pile_wikipedia_en_val_loss,6.876390570054355,-0.029330031742214935,-0.027855340785635896,0.029330031742214935
p_q_raw_coverage,A10_A11_validation_1b,cross_scale_diagnostic,metric/the_pile_dm_mathematics_val_loss,-2.4896067335818373,0.030347666912148075,0.03828212499540795,-0.030347666912148075
p_q_raw_coverage,A10_A11_validation_1b,cross_scale_diagnostic,metric/the_pile_github_val_loss,-4.356998925975859,0.006209509399238922,0.008375180140623772,-0.006209509399238922
p_q_raw_coverage,A10_A11_validation_1b,cross_scale_diagnostic,metric/the_pile_stackexchange_val_loss,2.663852022849369,-0.008185795524682238,-0.0071962164407697315,0.008185795524682238
p_q_raw_coverage,A10_A11_validation_1b,cross_scale_diagnostic,metric/the_pile_gutenberg_pg_19_val_loss,1.1403421990733449,-0.012899466588036645,-0.012417458868490883,0.012899466588036645
p_q_raw_coverage,A10_A11_validation_1b,cross_scale_diagnostic,metric/the_pile_pile_cc_val_loss,14.149855052171802,-0.027824155835769915,-0.02745087389979428,0.027824155835769915
p_q_raw_coverage,A10_A11_validation_1b,cross_scale_diagnostic,metric/the_pile_ubuntu_irc_val_loss,-0.5427968089756376,0.008695913903019381,0.010951906460730854,-0.008695913903019381
p_q_raw_coverage,A10_A11_validation_1b,cross_scale_diagnostic,metric/the_pile_hackernews_val_loss,1.4987568410355436,-0.01221039765435572,-0.012165605059938578,0.01221039765435572
p_q_raw_coverage,A10_A11_validation_1b,cross_scale_diagnostic,metric/the_pile_pubmed_abstracts_val_loss,4.292291794051266,-0.009247092952906044,-0.009771945354478007,0.009247092952906044
p_q_raw_coverage,A10_A11_validation_1b,cross_scale_diagnostic,metric/the_pile_uspto_backgrounds_val_loss,3.6762608742814677,-0.014243881207981701,-0.013438571969948132,0.014243881207981701
p_q_raw_coverage,A12_A13_extrapolation_10b,extrapolation_diagnostic,metric/the_pile_arxiv_val_loss,0.05408380920103184,-0.003397414806833421,-0.0007520359182837666,0.003397414806833421
p_q_raw_coverage,A12_A13_extrapolation_10b,extrapolation_diagnostic,metric/the_pile_freelaw_val_loss,0.7461361601453262,-0.014200271918566099,-0.010167837438088245,0.014200271918566099
p_q_raw_coverage,A12_A13_extrapolation_10b,extrapolation_diagnostic,metric/the_pile_pubmed_central_val_loss,1.405657139621269,-0.014680643087711331,-0.012627651743895907,0.014680643087711331
p_q_raw_coverage,A12_A13_extrapolation_10b,extrapolation_diagnostic,metric/the_pile_wikipedia_en_val_loss,0.9508674903078713,-0.009111096551195352,-0.006549729217256939,0.009111096551195352
p_q_raw_coverage,A12_A13_extrapolation_10b,extrapolation_diagnostic,metric/the_pile_dm_mathematics_val_loss,-0.16391626497077283,0.0009344236094164238,0.005168748262518896,-0.00016535776539194913
p_q_raw_coverage,A12_A13_extrapolation_10b,extrapolation_diagnostic,metric/the_pile_github_val_loss,-1.714930949876134,0.01731971636287888,0.017671900732488144,-0.01731971636287888
p_q_raw_coverage,A12_A13_extrapolation_10b,extrapolation_diagnostic,metric/the_pile_stackexchange_val_loss,-1.996648184682158,0.009233022887272568,0.010095790506788216,-0.009233022887272568
p_q_raw_coverage,A12_A13_extrapolation_10b,extrapolation_diagnostic,metric/the_pile_gutenberg_pg_19_val_loss,0.8456719552581831,-0.006098899026181659,-0.0054249148707397055,0.006098899026181659
p_q_raw_coverage,A12_A13_extrapolation_10b,extrapolation_diagnostic,metric/the_pile_pile_cc_val_loss,1.0546199481880194,-0.006677938825902174,-0.006125459013329504,0.006677938825902174
p_q_raw_coverage,A12_A13_extrapolation_10b,extrapolation_diagnostic,metric/the_pile_ubuntu_irc_val_loss,-0.2665674416556101,0.0008267086042463845,0.0028413957179420635,-0.0008267086042463845
p_q_raw_coverage,A12_A13_extrapolation_10b,extrapolation_diagnostic,metric/the_pile_hackernews_val_loss,0.43076101369774733,-0.0020472265291400227,-0.0017608480116324543,0.0020472265291400227
p_q_raw_coverage,A12_A13_extrapolation_10b,extrapolation_diagnostic,metric/the_pile_pubmed_abstracts_val_loss,3.41115071829563,-0.024265764335076767,-0.0218321472807248,0.024265764335076767
p_q_raw_coverage,A12_A13_extrapolation_10b,extrapolation_diagnostic,metric/the_pile_uspto_backgrounds_val_loss,1.9907268469889345,-0.01636231313389258,-0.014556925901016982,0.01636231313389258
p_q_raw_coverage,A14_A15_extrapolation_70b,extrapolation_diagnostic,metric/the_pile_arxiv_val_loss,0.10827516769694512,-0.003397414806833865,-0.0008309228766445464,0.003397414806833865
p_q_raw_coverage,A14_A15_extrapolation_70b,extrapolation_diagnostic,metric/the_pile_freelaw_val_loss,1.1558550436528776,-0.01420027191856521,-0.010149684376155932,0.01420027191856521
p_q_raw_coverage,A14_A15_extrapolation_70b,extrapolation_diagnostic,metric/the_pile_pubmed_central_val_loss,2.3192148529207657,-0.014680643087712664,-0.012564327412845522,0.014680643087712664
p_q_raw_coverage,A14_A15_extrapolation_70b,extrapolation_diagnostic,metric/the_pile_wikipedia_en_val_loss,1.2949042987767143,-0.009111096551195352,-0.006582782492452033,0.009111096551195352
p_q_raw_coverage,A14_A15_extrapolation_70b,extrapolation_diagnostic,metric/the_pile_dm_mathematics_val_loss,-0.3166177268924173,0.0009344236094159797,0.005254542492619141,-0.00016535776539150504
p_q_raw_coverage,A14_A15_extrapolation_70b,extrapolation_diagnostic,metric/the_pile_github_val_loss,-3.0280951869581827,0.01731971636287888,0.0178289735102668,-0.01731971636287888
p_q_raw_coverage,A14_A15_extrapolation_70b,extrapolation_diagnostic,metric/the_pile_stackexchange_val_loss,-3.301650893922897,0.009233022887272568,0.010159935222223915,-0.009233022887272568
p_q_raw_coverage,A14_A15_extrapolation_70b,extrapolation_diagnostic,metric/the_pile_gutenberg_pg_19_val_loss,1.1610641671076678,-0.006098899026181215,-0.0054375869979015334,0.006098899026181215
p_q_raw_coverage,A14_A15_extrapolation_70b,extrapolation_diagnostic,metric/the_pile_pile_cc_val_loss,1.3499502564206978,-0.006677938825900398,-0.006121714524168098,0.006677938825900398
p_q_raw_coverage,A14_A15_extrapolation_70b,extrapolation_diagnostic,metric/the_pile_ubuntu_irc_val_loss,-0.42838794313769313,0.0008267086042454963,0.0028240988301959646,-0.0008267086042454963
p_q_raw_coverage,A14_A15_extrapolation_70b,extrapolation_diagnostic,metric/the_pile_hackernews_val_loss,0.535430028430028,-0.0020472265291400227,-0.0017443504771357254,0.0020472265291400227
p_q_raw_coverage,A14_A15_extrapolation_70b,extrapolation_diagnostic,metric/the_pile_pubmed_abstracts_val_loss,4.682367538583549,-0.024265764335075435,-0.021678879330728762,0.024265764335075435
p_q_raw_coverage,A14_A15_extrapolation_70b,extrapolation_diagnostic,metric/the_pile_uspto_backgrounds_val_loss,2.812092373053588,-0.01636231313389347,-0.014517340236048781,0.01636231313389347
p_q_renorm_coverage,A4_A5_train_1m,fit,metric/the_pile_arxiv_val_loss,0.008128323591350073,-0.00557785692412216,-0.008812174425953945,-3.1051550219984847e-16
p_q_renorm_coverage,A4_A5_train_1m,fit,metric/the_pile_freelaw_val_loss,0.009997627140772458,-0.007541520682433411,-0.010468796212747988,-1.5265566588595902e-16
p_q_renorm_coverage,A4_A5_train_1m,fit,metric/the_pile_pubmed_central_val_loss,0.017245347934497057,-0.013201811783860484,-0.017055623539808107,1.5612511283791264e-17
p_q_renorm_coverage,A4_A5_train_1m,fit,metric/the_pile_wikipedia_en_val_loss,0.017780298381223636,-0.007859892351644443,-0.010264799095333565,-4.874572967494828e-16
p_q_renorm_coverage,A4_A5_train_1m,fit,metric/the_pile_dm_mathematics_val_loss,0.004956516141585654,-0.005870563412805452,-0.008919393034234835,-1.5005358067199381e-16
p_q_renorm_coverage,A4_A5_train_1m,fit,metric/the_pile_github_val_loss,0.03354638414698041,-0.02708712425008508,-0.037473136438060106,-5.898059818321144e-17
p_q_renorm_coverage,A4_A5_train_1m,fit,metric/the_pile_stackexchange_val_loss,0.02735287183855195,-0.01200206354182598,-0.021573301114343135,1.6653345369377348e-16
p_q_renorm_coverage,A4_A5_train_1m,fit,metric/the_pile_gutenberg_pg_19_val_loss,0.008579330163305476,-0.001335473598380571,-0.003318357610829742,-1.942890293094024e-16
p_q_renorm_coverage,A4_A5_train_1m,fit,metric/the_pile_pile_cc_val_loss,0.03627309882584506,-0.008115160406288596,-0.010678895904303626,-4.614364446098307e-16
p_q_renorm_coverage,A4_A5_train_1m,fit,metric/the_pile_ubuntu_irc_val_loss,0.008318085539380626,-0.0072135692034608345,-0.009651501728409506,7.112366251504909e-17
p_q_renorm_coverage,A4_A5_train_1m,fit,metric/the_pile_hackernews_val_loss,0.019567566506803136,-0.002780178650949122,-0.005765359072128218,-2.411265631607762e-16
p_q_renorm_coverage,A4_A5_train_1m,fit,metric/the_pile_pubmed_abstracts_val_loss,0.07597335069765843,-0.03458380142727213,-0.03951600383165499,-1.708702623837155e-16
p_q_renorm_coverage,A4_A5_train_1m,fit,metric/the_pile_uspto_backgrounds_val_loss,0.029846442230202497,-0.01554150285707484,-0.018132523169857806,-1.3877787807814457e-16
p_q_renorm_coverage,A6_A7_validation_1m,same_scale_validation,metric/the_pile_arxiv_val_loss,-0.00028073339555112486,-0.0009999887822206843,0.00022078471290831736,0.004810369939779999
p_q_renorm_coverage,A6_A7_validation_1m,same_scale_validation,metric/the_pile_freelaw_val_loss,0.01087861923509581,-0.008117183865198774,-0.00993405958498389,0.003982607372731439
p_q_renorm_coverage,A6_A7_validation_1m,same_scale_validation,metric/the_pile_pubmed_central_val_loss,0.011504865009928311,-0.006102739413072655,-0.01305998993843227,0.008209842797231665
p_q_renorm_coverage,A6_A7_validation_1m,same_scale_validation,metric/the_pile_wikipedia_en_val_loss,0.011548549678024322,-0.005116923155843001,-0.007107631021052191,-0.0005081426619861912
