block,alpha,fold,mean_target_r2,centered_relative_mean_target_r2,mean_target_spearman,mae,rmse
p_q_renorm_coverage,0.0001,3,0.7357541398662273,0.7421887063956395,0.8727142318414066,0.2930480521504177,0.41509238092091
p_q_renorm_coverage,0.0001,4,0.7613461478159393,0.765329127820465,0.8863545714058291,0.27638900396941984,0.38853951616467386
p_q_renorm_coverage,0.0001,5,0.7233507318596855,0.7318030463748847,0.8752196003328312,0.27882945725379543,0.38992361527027997
p_q_renorm_coverage,0.001,1,0.7659040961504205,0.7712696209346436,0.8790944481429039,0.27262975782153304,0.3709730014216536
p_q_renorm_coverage,0.001,2,0.7433371451051772,0.7495869141703178,0.883402214795265,0.28249376329423087,0.38259138670737863
p_q_renorm_coverage,0.001,3,0.7357542037352065,0.7421888073282539,0.8727142318414066,0.293047936664337,0.4150923167514965
p_q_renorm_coverage,0.001,4,0.7613461700354681,0.7653291773628234,0.8863545714058291,0.27638903101151907,0.38853962241131373
p_q_renorm_coverage,0.001,5,0.7233510180861994,0.7318033097331622,0.8752196003328312,0.27882922005830213,0.38992327869038595
p_q_renorm_coverage,0.01,1,0.7659038978997698,0.7712691315416642,0.8790944481429039,0.272630340816948,0.37097305540726594
p_q_renorm_coverage,0.01,2,0.7433388036347505,0.7495885194559155,0.883402214795265,0.28249350539190754,0.38259083425073137
p_q_renorm_coverage,0.01,3,0.7357548418612695,0.7421898160854229,0.8727142318414066,0.293046781908414,0.41509167557975624
p_q_renorm_coverage,0.01,4,0.761346391786242,0.7653296723377723,0.8863632706019801,0.2763893014262214,0.38854068518391927
p_q_renorm_coverage,0.01,5,0.7233538796603931,0.7318059426517546,0.8752196003328312,0.2788268482006087,0.3899199135194664
p_q_renorm_coverage,0.1,1,0.7659018757494144,0.7712642003139784,0.8790944481429039,0.2726361663192766,0.3709736360224054
p_q_renorm_coverage,0.1,2,0.7433553311113903,0.7496045148522058,0.8834098182272853,0.28249092820945104,0.3825853547145164
p_q_renorm_coverage,0.1,3,0.7357611668005867,0.7421998468115784,0.8727142318414066,0.29303528709699456,0.415085316056573
p_q_renorm_coverage,0.1,4,0.7613485648790186,0.7653345772606838,0.8863754494765913,0.2763920049438215,0.3885513435042713
p_q_renorm_coverage,0.1,5,0.7233824263696547,0.7318322054782803,0.8752448280016686,0.2788031393414715,0.3898863245640258
p_q_renorm_coverage,1.0,1,0.7658777185973425,0.7712111853304104,0.8791451376897057,0.2726939799467024,0.3709834858818478
p_q_renorm_coverage,1.0,2,0.7435148763250162,0.7497587751753161,0.8833785596734243,0.2824653384071261,0.3825350242351238
p_q_renorm_coverage,1.0,3,0.7358188351614279,0.7422945208150774,0.8726994432079503,0.2929234493872476,0.4150268953756644
p_q_renorm_coverage,1.0,4,0.7613658905060814,0.765379180387089,0.8864337340908014,0.27642650793572415,0.3886609600156202
p_q_renorm_coverage,1.0,5,0.7236610515641853,0.7320882560630425,0.8753526980339382,0.2785695205805187,0.3895566626571917
