block,dataset,role,alpha,target,r2,centered_relative_r2,spearman,mae,rmse,mean_residual
p_only,A14_A15_extrapolation_70b,extrapolation_diagnostic,10.0,metric/the_pile_github_val_loss,-336.6968406360452,-8.980531725786964,0.7519681259600615,3.926174972913718,3.9855120062448695,-3.926174972913718
p_only,A14_A15_extrapolation_70b,extrapolation_diagnostic,10.0,metric/the_pile_stackexchange_val_loss,-633.028355532994,-11.02028964230117,0.5846844360592409,3.8699595030017817,3.9071740042182745,-3.8699595030017817
p_only,A14_A15_extrapolation_70b,extrapolation_diagnostic,10.0,metric/the_pile_gutenberg_pg_19_val_loss,-421.1529052041131,-1.3169897623743743,0.5625960061443932,3.9405401284428305,3.951398690704902,-3.9405401284428305
p_only,A14_A15_extrapolation_70b,extrapolation_diagnostic,10.0,metric/the_pile_pile_cc_val_loss,-464.34711398203166,-0.5964393298213997,0.3560867895545315,4.210181150462198,4.217421597365641,-4.210181150462198
p_only,A14_A15_extrapolation_70b,extrapolation_diagnostic,10.0,metric/the_pile_ubuntu_irc_val_loss,-377.1596125469685,-6.028637146443108,0.8425600346233002,4.940794188729797,4.987360187878119,-4.940794188729797
p_only,A14_A15_extrapolation_70b,extrapolation_diagnostic,10.0,metric/the_pile_hackernews_val_loss,-611.9986865130985,-1.7377459521012555,0.2647849462365592,3.9843154290777365,3.993242624145004,-3.9843154290777365
p_only,A14_A15_extrapolation_70b,extrapolation_diagnostic,10.0,metric/the_pile_pubmed_abstracts_val_loss,-432.4852625539711,-3.3530728154200142,0.4829589093701998,3.9829649255839925,4.003115346937462,-3.9829649255839925
p_only,A14_A15_extrapolation_70b,extrapolation_diagnostic,10.0,metric/the_pile_uspto_backgrounds_val_loss,-368.4017182914242,-2.3506096293975323,0.595060365483555,3.7894736778574907,3.806777441801632,-3.7894736778574907
p_q_raw_coverage,A4_A5_train_1m,fit,0.1,metric/the_pile_arxiv_val_loss,0.7782543870442156,0.7782543870442156,0.9298149054142205,0.35411743386777117,0.4774646456762192,-5.204170427930421e-17
p_q_raw_coverage,A4_A5_train_1m,fit,0.1,metric/the_pile_freelaw_val_loss,0.8676984298727743,0.8676984298727743,0.9311144406392695,0.22537485907727525,0.2850432215234511,-1.3877787807814457e-17
p_q_raw_coverage,A4_A5_train_1m,fit,0.1,metric/the_pile_pubmed_central_val_loss,0.8221536410743155,0.8221536410743155,0.9287972714320046,0.2807794664308837,0.3594037520489326,-3.2439329000766293e-16
p_q_raw_coverage,A4_A5_train_1m,fit,0.1,metric/the_pile_wikipedia_en_val_loss,0.8038043883603396,0.8038043883603396,0.9038034584177338,0.1853515331049285,0.2342604904569513,2.445960101127298e-16
p_q_raw_coverage,A4_A5_train_1m,fit,0.1,metric/the_pile_dm_mathematics_val_loss,0.8180557297317077,0.8180557297317077,0.8709282123688217,0.5341563944842374,0.6540439386657747,-4.2500725161431774e-17
p_q_raw_coverage,A4_A5_train_1m,fit,0.1,metric/the_pile_github_val_loss,0.7717938379742793,0.7717938379742793,0.9348438876872546,0.3655118757065201,0.5043277839410331,-4.371503159461554e-16
p_q_raw_coverage,A4_A5_train_1m,fit,0.1,metric/the_pile_stackexchange_val_loss,0.7519997322479377,0.7519997322479377,0.9086964521749579,0.29267037257779355,0.38623033250085986,2.0122792321330962e-16
p_q_raw_coverage,A4_A5_train_1m,fit,0.1,metric/the_pile_gutenberg_pg_19_val_loss,0.6882549123565249,0.6882549123565249,0.8636813030006524,0.1891001766132558,0.24292962977340804,1.5959455978986625e-16
p_q_raw_coverage,A4_A5_train_1m,fit,0.1,metric/the_pile_pile_cc_val_loss,0.7330035021830925,0.7330035021830925,0.8606810619585493,0.12647329295106513,0.1655693391698182,-6.591949208711867e-17
p_q_raw_coverage,A4_A5_train_1m,fit,0.1,metric/the_pile_ubuntu_irc_val_loss,0.8002850877762755,0.8002850877762755,0.8541495898707957,0.3611993458124825,0.45924579794203424,1.457167719820518e-16
p_q_raw_coverage,A4_A5_train_1m,fit,0.1,metric/the_pile_hackernews_val_loss,0.6640173008743667,0.6640173008743667,0.851198701662833,0.15252177839513004,0.19843482557942924,-1.5612511283791264e-17
p_q_raw_coverage,A4_A5_train_1m,fit,0.1,metric/the_pile_pubmed_abstracts_val_loss,0.7298361208835317,0.7298361208835316,0.8936273868175004,0.22646414190000314,0.3038804528552304,-3.2786273695961654e-16
p_q_raw_coverage,A4_A5_train_1m,fit,0.1,metric/the_pile_uspto_backgrounds_val_loss,0.8357793446120203,0.8357793446120203,0.9007498412126205,0.16603079639010976,0.2151228364261243,9.367506770274758e-17
p_q_raw_coverage,A6_A7_validation_1m,same_scale_validation,0.1,metric/the_pile_arxiv_val_loss,0.7504436043210454,0.7688638147025362,0.9178537708857859,0.31025086377622535,0.38944356343405345,-0.10580531175110458
p_q_raw_coverage,A6_A7_validation_1m,same_scale_validation,0.1,metric/the_pile_freelaw_val_loss,0.8476376319489545,0.8489781518413889,0.9269483863584344,0.23278314298916014,0.2876775670812179,-0.026983841160485182
