cost_family,budget_flops,Lctx,N_B_min,N_B_p05,N_B_median,N_B_p95,N_B_max,D_B_min,D_B_p05,D_B_median,D_B_p95,D_B_max,Q_min,Q_p05,Q_median,Q_p95,Q_max,loss_min,loss_p05,loss_median,loss_p95,loss_max,quality_cost_flops_min,quality_cost_flops_p05,quality_cost_flops_median,quality_cost_flops_p95,quality_cost_flops_max,base_train_attn_cost_flops_min,base_train_attn_cost_flops_p05,base_train_attn_cost_flops_median,base_train_attn_cost_flops_p95,base_train_attn_cost_flops_max
logarithmic,1e+22,2048,9.20696759308938,9.27335320531868,9.818027361312451,10.268047824399202,10.353821177142448,143.32119970019858,144.49680157403384,150.74060890231303,159.14269970156818,160.1987087640012,0.9999999999999983,0.9999999999999987,1.0,1.0,1.0,2.0377605874598506,2.039100010970443,2.0482138013138105,2.0591121295360932,2.0598166617409164,4.886530835324718e+20,4.9266129363577694e+20,5.139495308981529e+20,5.425964274198419e+20,5.461968862889803e+20,9.453803113759937e+21,9.457403572619586e+21,9.486050469105948e+21,9.50733870636626e+21,9.511346916468877e+21
logarithmic,1e+22,4096,8.935458822443875,9.001966371480549,9.539262918340308,9.982545434076998,10.066835460508115,138.77852034256068,139.93152363642233,146.07147087069782,154.36084328688742,155.41904965549955,0.9999999999999999,0.9999999999999999,1.0,1.0,1.0,2.043021784593184,2.044378427830033,2.0536049378876533,2.0645799692529403,2.065363499915199,4.7316483559530365e+20,4.7709599592641416e+20,4.9803012259456555e+20,5.262927062192718e+20,5.299006567954439e+20,9.470099343210185e+21,9.4737072937856e+21,9.501969877406746e+21,9.522904004081113e+21,9.526835164412123e+21
logarithmic,1e+22,8192,8.459978386893576,8.526565616313135,9.050376150039547,9.481495666674766,9.563129438552673,130.79331993133076,131.90536999242224,137.8551868082838,145.93417300915073,146.99355170236905,0.9999999999999998,0.9999999999999998,1.0,1.0,1.0,2.05280364530944,2.0541917727975094,2.063624977057556,2.0747395823722132,2.0756690069557395,4.459393252609321e+20,4.497308557011708e+20,4.700167334331872e+20,4.9756200605948405e+20,5.01173953671928e+20,9.498826046336146e+21,9.502437993948239e+21,9.52998326657413e+21,9.55026914430223e+21,9.55406067474117e+21
logarithmic,1e+22,32768,6.67140038249954,6.736516588596919,7.202208203666939,7.582687981856312,7.653559982884929,100.51339550108221,101.4543251393707,106.5835177780852,113.7042327949578,114.7320705209906,0.9999999999999998,0.9999999999999998,1.0,1.0,1.0,2.0979476607907275,2.0994725407260044,2.1098130191161064,2.121522676184901,2.12310924470689,3.427000384497524e+20,3.4590813446135815e+20,3.633960971925021e+20,3.876741478732761e+20,3.911785566784463e+20,9.608821443326667e+21,9.61232585213898e+21,9.636603902838448e+21,9.654091865538639e+21,9.657299961550243e+21
logarithmic,1e+22,131072,4.28169122344921,4.339077326837047,4.702996046914126,4.999135201049346,5.0529767030379,60.172776903169904,60.83536446808406,64.55207327690013,69.88200279336813,70.75057376756016,0.9999999999999983,0.9999999999999983,0.9999999999999988,1.0,1.0,2.1947059334732697,2.19648130437849,2.2085310389544563,2.221269144136017,2.224180589473056,2.0515885326073437e+20,2.07417943035191e+20,2.200900475376611e+20,2.3826242188758906e+20,2.4122381131004405e+20,9.758776188691638e+21,9.761737578115475e+21,9.779909952506543e+21,9.792582056970988e+21,9.794841146745653e+21
logarithmic,1e+24,2048,11.965825000000002,11.965825000000002,11.965825000000002,11.965825000000002,11.965825000000002,299.89299999999986,299.89299999999986,299.89299999999986,299.89299999999986,299.89299999999986,0.9999999999999997,0.9999999999999997,1.0,1.0,1.0,1.9656902313733366,1.9668372469898698,1.9746471455146226,1.9852039629468214,1.985393742544411,1.0224840392513155e+21,1.0224840392513155e+21,1.0224840392513159e+21,1.0224840392513159e+21,1.0224840392513159e+21,2.3000639087744553e+22,2.3000639087744553e+22,2.3000639087744553e+22,2.3000639087744553e+22,2.3000639087744553e+22
logarithmic,1e+24,4096,11.965825000000002,11.965825000000002,11.965825000000002,11.965825000000002,11.965825000000002,299.89299999999986,299.89299999999986,299.89299999999986,299.89299999999986,299.89299999999986,0.9999999999999997,0.9999999999999997,1.0,1.0,1.0,1.9656902313733366,1.9668372469898698,1.9746471455146226,1.9852039629468214,1.985393742544411,1.0224840392513155e+21,1.0224840392513155e+21,1.0224840392513159e+21,1.0224840392513159e+21,1.0224840392513159e+21,2.4470475235139114e+22,2.4470475235139114e+22,2.4470475235139114e+22,2.4470475235139114e+22,2.4470475235139114e+22
logarithmic,1e+24,8192,11.965825000000002,11.965825000000002,11.965825000000002,11.965825000000002,11.965825000000002,299.89299999999986,299.89299999999986,299.89299999999986,299.89299999999986,299.89299999999986,0.9999999999999997,0.9999999999999997,1.0,1.0,1.0,1.9656902313733366,1.9668372469898698,1.9746471455146226,1.9852039629468214,1.985393742544411,1.0224840392513155e+21,1.0224840392513155e+21,1.0224840392513159e+21,1.0224840392513159e+21,1.0224840392513159e+21,2.741014752992823e+22,2.741014752992823e+22,2.741014752992823e+22,2.741014752992823e+22,2.741014752992823e+22
logarithmic,1e+24,32768,11.965825000000002,11.965825000000002,11.965825000000002,11.965825000000002,11.965825000000002,299.89299999999986,299.89299999999986,299.89299999999986,299.89299999999986,299.89299999999986,0.9999999999999997,0.9999999999999997,1.0,1.0,1.0,1.9656902313733366,1.9668372469898698,1.9746471455146226,1.9852039629468214,1.985393742544411,1.0224840392513155e+21,1.0224840392513155e+21,1.0224840392513159e+21,1.0224840392513159e+21,1.0224840392513159e+21,4.5048181298662946e+22,4.5048181298662946e+22,4.5048181298662946e+22,4.5048181298662946e+22,4.5048181298662946e+22
logarithmic,1e+24,131072,11.965825000000002,11.965825000000002,11.965825000000002,11.965825000000002,11.965825000000002,299.89299999999986,299.89299999999986,299.89299999999986,299.89299999999986,299.89299999999986,0.9999999999999997,0.9999999999999997,1.0,1.0,1.0,1.9656902313733366,1.9668372469898698,1.9746471455146226,1.9852039629468214,1.985393742544411,1.0224840392513155e+21,1.0224840392513155e+21,1.0224840392513159e+21,1.0224840392513159e+21,1.0224840392513159e+21,1.156003163736018e+23,1.156003163736018e+23,1.156003163736018e+23,1.156003163736018e+23,1.156003163736018e+23
power,1e+19,2048,0.44988709881044037,0.4652809422498732,0.5465450600630513,0.6246932464301592,0.6382860940763921,2.071378516356405,2.124244822883455,2.4443482687517255,2.8931500111963637,2.980633840771866,0.5542666972093431,0.558885364779235,0.5857092633276683,0.6146856200270275,0.6196278071732885,3.2808238725575287,3.283017876645747,3.302006906634912,3.325139333617958,3.3290123017438162,1.4050551404366843e+18,1.4063883209888607e+18,1.437117497171781e+18,1.512875708880733e+18,1.525662075447783e+18,8.474337924561411e+18,8.487124291126959e+18,8.56288250282859e+18,8.593611679017407e+18,8.594944859570794e+18
power,1e+19,4096,0.43732049399341183,0.4523989437669675,0.5318896030575516,0.6083865562685419,0.6216895486105547,1.999182723987474,2.050501115711352,2.3613651756308918,2.7977359695926522,2.8829119171757314,0.5586611458328476,0.5633537791224242,0.590585556157176,0.620016407758674,0.6250366973970358,3.295651272284556,3.297954989486542,3.3173004858060837,3.3403459575386627,3.3441975723688895,1.4026495223423455e+18,1.4040198485350282e+18,1.4351830923573394e+18,1.511687875935836e+18,1.5246140408986437e+18,8.475385959108489e+18,8.488312124069928e+18,8.564816907643689e+18,8.595980151469977e+18,8.597350477663906e+18
power,1e+19,8192,0.4152094714356094,0.42972516375590564,0.506060942176021,0.5796183431138149,0.592405476460031,1.8734256300812648,1.9220214705096033,2.2166257609264974,2.631076200762093,2.7121715314101933,0.566799799253067,0.5716302299833468,0.5996212958125324,0.6298992553679579,0.6350650774212394,3.323190470527293,3.3256992203066975,3.3457042487620003,3.3685759934897734,3.372385543199456,1.3982502777810314e+18,1.3996884070574098e+18,1.4316422077144422e+18,1.5095113175990561e+18,1.522692837254221e+18,8.477307162760743e+18,8.490488682413002e+18,8.568357792285784e+18,8.600311592946351e+18,8.601749722223639e+18
power,1e+19,32768,0.33082437003882503,0.3430899176281594,0.40694113007256444,0.4688268021137368,0.47956932225934645,1.4095149541013674,1.4477439072800276,1.6802736337561934,2.0105297274002885,2.0758075007883843,0.6038665313321647,0.6093371073220337,0.6408517664917845,0.6750692887462627,0.6809123381781581,3.4498672777665855,3.453339525027421,3.4763374561924913,3.498213207439469,3.501790530063504,1.379095035190837e+18,1.3808261860637676e+18,1.4161941547187889e+18,1.4999769592093358e+18,1.5142668963108193e+18,8.485733103695232e+18,8.500023040797428e+18,8.583805845290955e+18,8.619173813943059e+18,8.620904964817394e+18
power,1e+19,131072,0.215015257631741,0.22386057824012812,0.26913684468413285,0.31351701201412735,0.32120357774308017,0.8216308360967964,0.845759757298538,0.9933939107906832,1.2068645728281127,1.249778644489116,0.6809933640497935,0.6878580035625247,0.7270265066492785,0.7698463730690822,0.7771696397662573,3.7196973487321907,3.725324682141604,3.7544936963737423,3.77326305430242,3.776152028315011,1.3432988440080113e+18,1.3455677359785398e+18,1.3871933655591066e+18,1.4819264076690941e+18,1.4982730797424292e+18,8.501726920257796e+18,8.518073592332202e+18,8.612806634450632e+18,8.654432264026554e+18,8.656701155996781e+18
