fold,cost_family,Lctx,budget_flops,loss,total_cost_flops,Q,pareto_flag
fold_3,exponential,32768,1e+19,3.455077310356711,1.0000000000001e+19,0.7542343126905439,True
fold_3,exponential,32768,1e+22,2.110451173720847,1.0000000000012824e+22,1.0,True
fold_3,exponential,32768,1e+24,1.9746471455146226,4.625257160359805e+22,0.9999999999999999,True
fold_3,exponential,131072,1e+19,3.733866777293691,1.0000000000008294e+19,0.8136827662269546,True
fold_3,exponential,131072,1e+22,2.208974573814066,1.000000000009012e+22,1.0,True
fold_3,exponential,131072,1e+24,1.9746471455146226,1.1680470667853692e+23,0.9999999999999999,True
fold_3,logarithmic,2048,1e+19,3.33541295588043,1.0000000000002632e+19,1.0,True
fold_3,logarithmic,2048,1e+22,2.0482138013138105,1.0000000000004794e+22,1.0,True
fold_3,logarithmic,2048,1e+24,1.9746471455146226,2.402312312699587e+22,0.9999999999999999,True
fold_3,logarithmic,4096,1e+19,3.348755267016956,1.0000000000002875e+19,1.0,True
fold_3,logarithmic,4096,1e+22,2.0536049378876533,1.0000000000007923e+22,1.0,True
fold_3,logarithmic,4096,1e+24,1.9746471455146226,2.549295927439043e+22,0.9999999999999999,True
fold_3,logarithmic,8192,1e+19,3.3736664687929663,1.0000000000005087e+19,1.0,True
fold_3,logarithmic,8192,1e+22,2.063624977057556,1.0000000000008607e+22,1.0,True
fold_3,logarithmic,8192,1e+24,1.9746471455146226,2.8432631569179547e+22,0.9999999999999999,True
fold_3,logarithmic,32768,1e+19,3.490298190645487,1.0000000000009343e+19,0.9999999999999999,True
fold_3,logarithmic,32768,1e+22,2.1098130191161064,1e+22,1.0,True
fold_3,logarithmic,32768,1e+24,1.9746471455146226,4.607066533791426e+22,0.9999999999999999,True
fold_3,logarithmic,131072,1e+19,3.7482026736850873,1.0000000000008342e+19,1.0,True
fold_3,logarithmic,131072,1e+22,2.2085310389544563,1.0000000000005344e+22,0.9999999999999988,True
fold_3,logarithmic,131072,1e+24,1.9746471455146226,1.1662280041285311e+23,0.9999999999999999,True
fold_3,power,2048,1e+19,3.3096474611145257,1.0000000000001683e+19,0.5949168714419839,True
fold_3,power,2048,1e+22,2.0503415954339133,1.0000000000009443e+22,0.9999999999999999,True
fold_3,power,2048,1e+24,1.9746471455146226,2.4499954141244552e+22,0.9999999999999999,True
fold_3,power,4096,1e+19,3.324939498217755,1.0000000000000287e+19,0.5999352492052265,True
fold_3,power,4096,1e+22,2.055685483978425,1.0000000000012887e+22,1.0,True
fold_3,power,4096,1e+24,1.9746471455146226,2.5969790288639113e+22,0.9999999999999999,True
fold_3,power,8192,1e+19,3.353337794651042,1.0000000000000432e+19,0.6092359671548315,True
fold_3,power,8192,1e+22,2.065621246037107,1.000000000000074e+22,1.0,True
fold_3,power,8192,1e+24,1.9746471455146226,2.890946258342823e+22,0.9999999999999999,True
fold_3,power,32768,1e+19,3.483903916943328,1.0000000000009613e+19,0.6516970910186809,True
fold_3,power,32768,1e+22,2.111473376329508,1.000000000001697e+22,1.0,True
fold_3,power,32768,1e+24,1.9746471455146226,4.654749635216294e+22,0.9999999999999999,True
fold_3,power,131072,1e+19,3.761707158252055,1.0000000000005579e+19,0.7405533062803819,True
fold_3,power,131072,1e+22,2.209688320066275,1.0000000000009685e+22,1.0,True
fold_3,power,131072,1e+24,1.9746471455146226,1.170996314271018e+23,0.9999999999999999,True
fold_4,exponential,2048,1e+19,3.273997913646198,1.0000000000000834e+19,0.7049464996171385,True
fold_4,exponential,2048,1e+22,2.0452800178313577,1.0000000000005075e+22,1.0,True
fold_4,exponential,2048,1e+24,1.9714253094560028,2.4205029392679665e+22,1.0,True
fold_4,exponential,4096,1e+19,3.2891925578783843,1.0000000000000141e+19,0.7087572042992112,True
fold_4,exponential,4096,1e+22,2.0506090430978183,1.00000000000262e+22,0.9999999999999998,True
fold_4,exponential,4096,1e+24,1.9714253094560028,2.5674865540074226e+22,1.0,True
fold_4,exponential,8192,1e+19,3.3174338772377836,1.000000000000684e+19,0.7157435519956679,True
fold_4,exponential,8192,1e+22,2.0605157520733517,1.0000000000006617e+22,1.0,True
fold_4,exponential,8192,1e+24,1.9714253094560028,2.8614537834863343e+22,1.0,True
fold_4,exponential,32768,1e+19,3.4476539314228396,1.0000000000002718e+19,0.7464522621055522,True
fold_4,exponential,32768,1e+22,2.106213890240948,1.0000000000000596e+22,1.0,True
fold_4,exponential,32768,1e+24,1.9714253094560028,4.625257160359806e+22,1.0,True
fold_4,exponential,131072,1e+19,3.7264946621800736,1.0000000000009814e+19,0.8051987916477589,True
fold_4,exponential,131072,1e+22,2.2040308839591676,1.000000000000896e+22,0.9999999999999998,True
fold_4,exponential,131072,1e+24,1.9714253094560028,1.1680470667853692e+23,1.0,True
fold_4,logarithmic,2048,1e+19,3.3321867181156235,1.0000000000002654e+19,1.0,True
fold_4,logarithmic,2048,1e+22,2.0444577050128143,1.00000000000041e+22,0.9999999999999983,True
fold_4,logarithmic,2048,1e+24,1.9714253094560028,2.402312312699587e+22,1.0,True
fold_4,logarithmic,4096,1e+19,3.345473082047944,1.0000000000008407e+19,0.9999999999999998,True
fold_4,logarithmic,4096,1e+22,2.0498050007774298,1.0000000000001313e+22,0.9999999999999999,True
fold_4,logarithmic,4096,1e+24,1.9714253094560028,2.549295927439043e+22,1.0,True
fold_4,logarithmic,8192,1e+19,3.370281392901598,1.0000000000006328e+19,1.0,True
fold_4,logarithmic,8192,1e+22,2.0597442827497874,1.0000000000007317e+22,1.0,True
fold_4,logarithmic,8192,1e+24,1.9714253094560028,2.8432631569179547e+22,1.0,True
fold_4,logarithmic,32768,1e+19,3.4864595905461684,1.000000000000093e+19,1.0,True
fold_4,logarithmic,32768,1e+22,2.1055720604671113,1.000000000003095e+22,1.0,True
fold_4,logarithmic,32768,1e+24,1.9714253094560028,4.607066533791426e+22,1.0,True
fold_4,logarithmic,131072,1e+19,3.7435364223033094,1.0000000000008751e+19,1.0,True
fold_4,logarithmic,131072,1e+22,2.203582787999371,1.0000000000044204e+22,1.0,True
fold_4,logarithmic,131072,1e+24,1.9714253094560028,1.1662280041285311e+23,1.0,True
fold_4,power,2048,1e+19,3.302006906634912,1.000000000000037e+19,0.5857092633276683,True
fold_4,power,2048,1e+22,2.046591102904167,1.0000000000009441e+22,1.0,True
fold_4,power,2048,1e+24,1.9714253094560028,2.4499954141244552e+22,1.0,True
fold_4,power,4096,1e+19,3.3173004858060837,1.0000000000001028e+19,0.590585556157176,True
