N_params_B,D_tokens_B,perturbed_parameter,relative_change,baseline_loss,perturbed_loss,delta,observed_joint_row
1000.0,1000.0,alpha,0.1,1.9030375826647477,1.8959607910596732,-0.007076791605074462,False
1000.0,1000.0,beta,-0.1,1.9030375826647477,1.941307550517422,0.038269967852674336,False
1000.0,1000.0,beta,0.1,1.9030375826647477,1.8714951881865123,-0.03154239447823537,False
1000.0,10000.0,alpha,-0.1,1.8178003598458543,1.8267504906279268,0.008950130782072518,False
1000.0,10000.0,alpha,0.1,1.8178003598458543,1.8107235682407798,-0.007076791605074462,False
1000.0,10000.0,beta,-0.1,1.8178003598458543,1.8454977101313779,0.02769735028552356,False
1000.0,10000.0,beta,0.1,1.8178003598458543,1.7963967526495483,-0.021403607196305963,False
1000.0,36000.0,alpha,-0.1,1.789422040814125,1.7983721715961976,0.008950130782072518,False
1000.0,36000.0,alpha,0.1,1.789422040814125,1.7823452492090506,-0.007076791605074462,False
1000.0,36000.0,beta,-0.1,1.789422040814125,1.8118833976360975,0.022461356821972478,False
1000.0,36000.0,beta,0.1,1.789422040814125,1.7726758881753877,-0.016746152638737355,False
10000.0,0.1,alpha,-0.1,4.067943155401934,4.073625997958109,0.005682842556175238,False
10000.0,0.1,alpha,0.1,4.067943155401934,4.063788117485313,-0.004155037916620863,False
10000.0,0.1,beta,-0.1,4.067943155401934,3.920483667759534,-0.1474594876423998,False
10000.0,0.1,beta,0.1,4.067943155401934,4.2252184594479285,0.15727530404599488,False
10000.0,1.0,alpha,-0.1,2.945558281032902,2.951241123589078,0.0056828425561761264,False
10000.0,1.0,alpha,0.1,2.945558281032902,2.941403243116282,-0.004155037916619975,False
10000.0,1.0,beta,-0.1,2.945558281032902,2.945558281032902,0.0,False
10000.0,1.0,beta,0.1,2.945558281032902,2.945558281032902,0.0,False
10000.0,10.0,alpha,-0.1,2.3563570075845406,2.3620398501407163,0.005682842556175682,False
10000.0,10.0,alpha,0.1,2.3563570075845406,2.35220196966792,-0.004155037916620419,False
10000.0,10.0,beta,-0.1,2.3563570075845406,2.39969854138271,0.04334153379816952,False
10000.0,10.0,beta,0.1,2.3563570075845406,2.315720491850037,-0.040636515734503664,False
10000.0,100.0,alpha,-0.1,2.047052999163782,2.052735841719958,0.0056828425561761264,False
10000.0,100.0,alpha,0.1,2.047052999163782,2.042897961247162,-0.004155037916619975,False
