model_a,model_b,domain,n,spearman,mean_abs_rank_gap_pp,conflict10_n,conflict20_n,conflict30_n,conflict20_rate,strong_n,top10_jaccard
GROUP_CRITIC,GEO_0.0001,c4,10000,0.97756709862767099,4.4556480000000001,957,85,9,0.0085000000000000006,0,0.79856115107913672
GROUP_CRITIC,GEO_0.0001,commoncrawl,9640,0.98053943766230112,4.0468203887674115,794,63,6,0.0065352697095435687,0,0.85206532180595584
GROUP_CRITIC,GEO_0.0001,github,203752,0.91342826863868332,8.6271069393253441,65714,20322,6612,0.099738898268483256,12,0.69912021014885539
GROUP_CRITIC,GEO_0.0001,stackexchange,10000,0.98099516968195188,4.0574399999999997,731,67,10,0.0067000000000000002,0,0.85013876040703051
GROUP_CRITIC,GEO_0.0001,wikipedia,10000,0.98108053254680572,3.9098379999999997,838,67,4,0.0067000000000000002,0,0.9138755980861244
GROUP_CRITIC,GEO_0.01,ALL,261086,0.92950879870041958,7.3935230997564458,67758,18127,5384,0.069429230215331345,66,0.82669838382424965
GROUP_CRITIC,GEO_0.01,arxiv,17523,0.97508599378037986,4.3035877070951551,2030,307,5,0.017519831079153114,0,0.89713048186247968
GROUP_CRITIC,GEO_0.01,book,171,0.77282261741906078,14.554905782975958,94,45,23,0.26315789473684209,0,0.54545454545454541
GROUP_CRITIC,GEO_0.01,c4,10000,0.97834560035145568,4.3791139999999995,923,80,8,0.0080000000000000002,0,0.79856115107913672
GROUP_CRITIC,GEO_0.01,commoncrawl,9640,0.98106747616405066,3.9932206745751624,763,58,6,0.0060165975103734443,0,0.85206532180595584
GROUP_CRITIC,GEO_0.01,github,203752,0.91611900026810433,8.4869848782777222,64395,19661,6277,0.09649475833366053,11,0.70231431197259586
GROUP_CRITIC,GEO_0.01,stackexchange,10000,0.98145882553058839,4.0080580000000001,714,65,8,0.0064999999999999997,0,0.85013876040703051
GROUP_CRITIC,GEO_0.01,wikipedia,10000,0.98156593492765953,3.8616660000000005,814,58,4,0.0057999999999999996,0,0.91754554170661551
TOPSIS_CRITIC,TOPSIS_GROUP,ALL,261086,0.97654767336619441,3.3674847810116324,10399,5873,3883,0.022494503726741381,0,0.83369034659549812
TOPSIS_CRITIC,TOPSIS_GROUP,arxiv,17523,0.9862969186417051,3.5200786109277322,816,25,0,0.0014266963419505793,0,0.71933267909715404
TOPSIS_CRITIC,TOPSIS_GROUP,book,171,0.9668130654954763,4.7194008412844974,16,5,2,0.029239766081871343,0,0.54545454545454541
TOPSIS_CRITIC,TOPSIS_GROUP,c4,10000,0.99525448349254519,2.055612,31,0,0,0,0,0.87969924812030076
TOPSIS_CRITIC,TOPSIS_GROUP,commoncrawl,9640,0.9851648283214185,3.6569101771663712,573,10,0,0.001037344398340249,0,0.77695852534562215
TOPSIS_CRITIC,TOPSIS_GROUP,github,203752,0.99210852413399775,2.5163981801448023,3855,357,68,0.0017521300404413208,0,0.8414749875728682
TOPSIS_CRITIC,TOPSIS_GROUP,stackexchange,10000,0.99382694293426932,2.3801700000000001,56,0,0,0,0,0.86219739292364994
TOPSIS_CRITIC,TOPSIS_GROUP,wikipedia,10000,0.99098430976584306,2.6803899999999996,229,15,5,0.0015,0,0.87969924812030076
TOPSIS_CRITIC,BPPGA20,ALL,261086,0.91900068809317503,8.7001635869972933,87821,25488,3625,0.09762300544648124,51,0.53230823405129413
TOPSIS_CRITIC,BPPGA20,arxiv,17523,0.71198089752909277,16.901477126633992,10441,6160,3272,0.35153797865662273,62,0.36661466458658348
TOPSIS_CRITIC,BPPGA20,book,171,0.86242590059279534,10.868301357682705,59,24,9,0.14035087719298245,1,0.30769230769230771
