donor,receiver,model_epsilon_count,median_delta_scalar_loss_z,min_delta_scalar_loss_z,max_delta_scalar_loss_z,improving_fraction,sign_consistent
train_the_pile_pubmed_central,train_the_pile_stackexchange,6,-0.001697194301551297,-0.002515079574778145,0.01147738582374802,0.6666666666666666,False
train_the_pile_pubmed_central,train_the_pile_ubuntu_irc,6,-0.02289987054835832,-0.03366038527503007,0.017547769909474487,0.8333333333333334,False
train_the_pile_pubmed_central,train_the_pile_uspto_backgrounds,6,-6.318538628252712e-05,-0.001363943632336273,0.015272458279497414,0.5,False
train_the_pile_pubmed_central,train_the_pile_wikipedia_en,6,-7.99564159238153e-05,-0.0018909758973716384,0.015987180960828073,0.5,False
train_the_pile_stackexchange,train_the_pile_arxiv,6,-0.09600912034522743,-0.29460599304859814,0.04115421201310329,0.5,False
train_the_pile_stackexchange,train_the_pile_dm_mathematics,6,0.0009445192472001818,0.00041392007533952446,0.0029268386733426466,0.0,True
train_the_pile_stackexchange,train_the_pile_enron_emails,6,0.4082990345607074,0.2128771870888847,0.7677251244500167,0.0,True
train_the_pile_stackexchange,train_the_pile_europarl,6,0.1396890968393337,0.04515197859537637,0.22120527170722837,0.0,True
train_the_pile_stackexchange,train_the_pile_freelaw,6,0.0034367067791035433,0.0008809498915273717,0.006674082251249658,0.0,True
train_the_pile_stackexchange,train_the_pile_github,6,0.005858051614410803,-0.007334694831427124,0.009074122660235773,0.16666666666666666,False
train_the_pile_stackexchange,train_the_pile_gutenberg_pg_19,6,-0.0012598806888641512,-0.011455689856311069,0.008415153660311092,0.6666666666666666,False
train_the_pile_stackexchange,train_the_pile_hackernews,6,0.00036420856765984055,-0.01741185722606009,0.0027710950572601978,0.3333333333333333,False
train_the_pile_stackexchange,train_the_pile_nih_exporter,6,0.021681709351549117,-0.02622753199007888,0.07139295051215977,0.3333333333333333,False
train_the_pile_stackexchange,train_the_pile_philpapers,6,-0.002189698244847771,-0.03136408332610208,0.01970760910194802,0.5,False
train_the_pile_stackexchange,train_the_pile_pile_cc,6,-0.0008457608246222881,-0.005634344523438417,0.002129424300845728,0.6666666666666666,False
train_the_pile_stackexchange,train_the_pile_pubmed_abstracts,6,0.0014381233074876598,-0.00012158910427584324,0.0038716755931266222,0.16666666666666666,False
train_the_pile_stackexchange,train_the_pile_pubmed_central,6,0.0020089880310493746,-0.006758243066943503,0.0029559354025536777,0.16666666666666666,False
train_the_pile_stackexchange,train_the_pile_ubuntu_irc,6,-0.02213124824454457,-0.032084268526960724,0.0071657106423033134,0.8333333333333334,False
train_the_pile_stackexchange,train_the_pile_uspto_backgrounds,6,0.002090444117091278,0.0008876808498546329,0.004640221953155943,0.0,True
train_the_pile_stackexchange,train_the_pile_wikipedia_en,6,0.0020940056294027343,0.0004262319803040038,0.005782386275690499,0.0,True
train_the_pile_uspto_backgrounds,train_the_pile_arxiv,6,-0.09948810128074423,-0.29792423310780347,0.040272398852848224,0.5,False
train_the_pile_uspto_backgrounds,train_the_pile_dm_mathematics,6,-0.0007577328545675943,-0.0036941311376211816,0.0004623620807957529,0.8333333333333334,False
train_the_pile_uspto_backgrounds,train_the_pile_enron_emails,6,0.4062841802496021,0.21199537392862944,0.7620020341145972,0.0,True
train_the_pile_uspto_backgrounds,train_the_pile_europarl,6,0.137655804540981,0.04427016543512127,0.21792872228035898,0.0,True
train_the_pile_uspto_backgrounds,train_the_pile_freelaw,6,0.0014081949710283703,-8.632687276133311e-07,0.0025516515683934315,0.16666666666666666,False
train_the_pile_uspto_backgrounds,train_the_pile_github,6,0.004377473790394132,-0.011393356113280517,0.007566321134361398,0.3333333333333333,False
train_the_pile_uspto_backgrounds,train_the_pile_gutenberg_pg_19,6,-0.0032600006863429676,-0.013920166448858406,0.003628910552873732,0.8333333333333334,False
train_the_pile_uspto_backgrounds,train_the_pile_hackernews,6,-0.0008746128641954343,-0.021965786666195863,0.00030661846471286003,0.8333333333333334,False
train_the_pile_uspto_backgrounds,train_the_pile_nih_exporter,6,0.020479478272268953,-0.02785546566986541,0.06892847391961282,0.3333333333333333,False
