base_model,correction,dataset,role,n,rmse_mean_loss,mae_mean_loss,bias_observed_minus_pred_mean_loss,r2_mean_loss,spearman_mean_loss,rmse_domain_macro,mae_domain_macro,rmse_pooled_all_domains,r2_domain_macro,spearman_domain_macro
ilr_ridge,C2_mixture_conditioned,A8_A9_test_60m,scale_calibration_in_sample,256,0.2330320879650867,0.1877478252784225,-0.0569176039594192,-0.1334967773242581,0.2571476596475165,0.3294927398532777,0.2627179322157878,0.3483489047715735,0.6266055002688964,0.8496383501769459
ilr_ridge,C2_mixture_conditioned,A10_A11_test_1b,cross_scale_retrospective,64,0.4684455114059492,0.4572235799518337,-0.4572235799518337,-80.34103893678873,0.448076923076923,0.6600229020207308,0.6179547530302643,0.7147151538051869,-19.042199961283725,0.712524654832347
ilr_ridge,C2_mixture_conditioned,A12_A13_est_10b,supplied_estimate_extrapolation_audit,63,0.3332555493497005,0.2747725089330654,-0.255645165110674,-11.02193411365548,-0.2214861751152074,0.9194226775401422,0.8386291320511439,1.042813262432246,-19.98546724547254,0.5961503732369647
ilr_ridge,C2_mixture_conditioned,A14_A15_est_70b,supplied_estimate_extrapolation_audit,63,0.2349776671153471,0.1930098883473392,0.0589064090462745,-4.089553196441832,-0.1925883256528417,1.0157863772155815,0.9288943601678764,1.1985264373883682,-32.94772702867185,0.4958479378183348
quadratic_ridge,C0_none,A4_A5_train_1m,base_fit,512,0.1862586606522852,0.1422702277554537,-1.0408340855860844e-16,0.6704891998514552,0.8244339980945514,0.2105913389763387,0.1596561810919655,0.2298343547620112,0.9185218739760276,0.9583181684783614
quadratic_ridge,C0_none,A6_A7_test_1m,same_scale_retrospective,256,0.2211484392275745,0.1752180355675891,-0.0432882400691827,0.3657966949300859,0.6905320153353169,0.2574294343600347,0.2019101214322161,0.2840065107729149,0.8661472704478559,0.934352551631248
quadratic_ridge,C0_none,A8_A9_test_60m,cross_scale_retrospective,256,1.5177851058360226,1.5026590287574528,-1.5026590287574528,-47.0849767358461,0.6619285019455252,1.5442059723953234,1.5060437806723048,1.5993338679597555,-7.752112320019946,0.929890113034139
quadratic_ridge,C0_none,A10_A11_test_1b,cross_scale_retrospective,64,2.623731378011488,2.619692944609953,-2.619692944609953,-2550.703972088351,0.4870421245421244,2.6580838358052503,2.620288245207393,2.6963496728536778,-483.6776209503137,0.8412651451112989
quadratic_ridge,C0_none,A12_A13_est_10b,supplied_estimate_extrapolation_audit,63,3.573588097744774,3.555073020606523,-3.555073020606523,-1381.383525564812,-0.595142089093702,3.606855443370645,3.555073020606523,3.623077879446641,-236.1055862059069,0.6088268101024323
quadratic_ridge,C0_none,A14_A15_est_70b,supplied_estimate_extrapolation_audit,63,3.955892257274074,3.9379860853195874,-3.9379860853195874,-1441.4985715204684,-0.6713709677419355,3.992695208679902,3.9379860853195874,4.010733969656319,-384.6466962736488,0.5281150798780584
quadratic_ridge,C1_global,A4_A5_train_1m,base_fit,512,0.1862586606522852,0.1422702277554537,-1.0408340855860844e-16,0.6704891998514552,0.8244339980945514,0.2105913389763387,0.1596561810919655,0.2298343547620112,0.9185218739760276,0.9583181684783614
quadratic_ridge,C1_global,A6_A7_test_1m,same_scale_retrospective; also_scale_calibration_member,256,0.2211484392275745,0.1752180355675891,-0.0432882400691827,0.3657966949300859,0.6905320153353169,0.2574294343600347,0.2019101214322161,0.2840065107729149,0.8661472704478559,0.934352551631248
quadratic_ridge,C1_global,A8_A9_test_60m,scale_calibration_in_sample,256,0.2180856311627662,0.1736339211733175,-0.0432882400691825,0.0072430370348529,0.6619285019455252,0.4756878638706322,0.4108884932883886,0.5493255284665994,-0.0076631906603199,0.929890113034139
quadratic_ridge,C1_global,A10_A11_test_1b,cross_scale_retrospective,64,0.2144490533088061,0.1821224447270644,-0.1575219874879352,-16.04668036803396,0.4870421245421244,0.4795682315389602,0.4255761716705695,0.6575132019975862,-9.6007102895358,0.8412651451112989
quadratic_ridge,C1_global,A12_A13_est_10b,supplied_estimate_extrapolation_audit,63,0.4539480124126104,0.3697071342357579,-0.2721784111104981,-21.30651893380527,-0.595142089093702,0.6978974913984788,0.5746554071613561,0.7498201292082116,-6.798095673401203,0.6088268101024323
quadratic_ridge,C1_global,A14_A15_est_70b,supplied_estimate_extrapolation_audit,63,0.3779304559085075,0.312468757013444,0.0385004741910521,-12.165891303029378,-0.6713709677419355,0.6853022498981312,0.5670900246705478,0.7614032136111474,-9.512032425314525,0.5281150798780584
quadratic_ridge,C1_domain,A4_A5_train_1m,base_fit,512,0.1862586606522852,0.1422702277554537,-1.0408340855860844e-16,0.6704891998514552,0.8244339980945514,0.2105913389763387,0.1596561810919655,0.2298343547620112,0.9185218739760276,0.9583181684783614
quadratic_ridge,C1_domain,A6_A7_test_1m,same_scale_retrospective; also_scale_calibration_member,256,0.2211484392275745,0.1752180355675891,-0.0432882400691827,0.3657966949300859,0.6905320153353169,0.2574294343600347,0.2019101214322161,0.2840065107729149,0.8661472704478559,0.934352551631248
quadratic_ridge,C1_domain,A8_A9_test_60m,scale_calibration_in_sample,256,0.2180856311627663,0.1736339211733176,-0.0432882400691826,0.0072430370348522,0.6619285019455252,0.3107495604966616,0.2491251946510514,0.368786068839705,0.6597657008057524,0.929890113034139
quadratic_ridge,C1_domain,A10_A11_test_1b,cross_scale_retrospective,64,0.2144490533088057,0.182122444727064,-0.1575219874879346,-16.04668036803389,0.4870421245421244,0.589706554851318,0.5469209339063026,0.6579227038459456,-19.687025606834435,0.8412651451112989
quadratic_ridge,C1_domain,A12_A13_est_10b,supplied_estimate_extrapolation_audit,63,0.4539480124126104,0.3697071342357579,-0.2721784111104981,-21.30651893380527,-0.595142089093702,1.0013427564981,0.904379146836182,1.092289625937955,-21.304257734941363,0.6088268101024323
