axis,to_domain,from_domain,to_index,from_index,derivative_per_fraction,loss_change_per_1pp_linearization,pair_logratio_elasticity,finite_difference,finite_step,finite_delta_loss,min_convex_weight,witness_reconstruction_max_error,finite_endpoints_in_training_convex_hull,one_percentage_point_support_verified
Q_A_topsis_0_1,freelaw,gutenberg_pg_19,1,10,0.4791674166598471,0.004791674166598471,0.006347674024041352,0.47916741666043094,0.0001,4.7916741666043094e-05,0.0019430481368140425,4.163336342344337e-17,True,False
quality_score_soft_proxy_0_1,freelaw,gutenberg_pg_19,1,10,0.40260235919258414,0.004026023591925842,0.00533339381729852,0.4026023591929828,0.0001,4.026023591929828e-05,0.0019430481368140425,4.163336342344337e-17,True,False
Q_A_topsis_0_1,freelaw,pile_cc,1,11,0.28524502469151014,0.0028524502469151015,0.006395176428804131,0.28524502469151614,0.0001,2.8524502469373658e-05,0.001948364026036257,4.163336342344337e-17,True,False
quality_score_soft_proxy_0_1,freelaw,pile_cc,1,11,0.21200190228876037,0.0021200190228876036,0.004753069996032326,0.2120019022910924,0.0001,2.120019022910924e-05,0.001948364026036257,4.163336342344337e-17,True,False
Q_A_topsis_0_1,freelaw,ubuntu_irc,1,12,2.4715674761389925,0.024715674761389927,0.0168879132299179,2.4715674761388584,0.0001,0.00024715674761388584,0.0019325552978258287,5.551115123125783e-17,True,False
quality_score_soft_proxy_0_1,freelaw,ubuntu_irc,1,12,2.4906287713966693,0.024906287713966694,0.017018156690179146,2.490628771396608,0.0001,0.0002490628771396608,0.0019325552978258287,5.551115123125783e-17,True,False
Q_A_topsis_0_1,freelaw,europarl,1,13,1.4479816801950944,0.014479816801950944,0.006832285079725691,1.4479816801937773,0.0001,0.00014479816801937773,0.0019183731689061967,4.163336342344337e-17,True,False
quality_score_soft_proxy_0_1,freelaw,europarl,1,13,1.4989143206711188,0.014989143206711188,0.007072610164189803,1.4989143206722844,0.0001,0.00014989143206722844,0.0019183731689061967,4.163336342344337e-17,True,False
Q_A_topsis_0_1,freelaw,hackernews,1,14,2.174487564899229,0.021744875648992287,0.009479257666627492,2.174487564898797,0.0001,0.0002174487564898797,0.0019194197030971158,5.551115123125783e-17,True,False
quality_score_soft_proxy_0_1,freelaw,hackernews,1,14,2.1935488601569055,0.021935488601569055,0.009562351693985408,2.1935488601565467,0.0001,0.00021935488601565467,0.0019194197030971158,5.551115123125783e-17,True,False
Q_A_topsis_0_1,freelaw,pubmed_abstracts,1,15,0.49169554252588454,0.004916955425258845,0.0081025216216729,0.4916955425260383,0.0001,4.916955425260383e-05,0.0019466898810622812,5.551115123125783e-17,True,False
quality_score_soft_proxy_0_1,freelaw,pubmed_abstracts,1,15,0.39513934582311383,0.003951393458231138,0.0065113974323591116,0.3951393458212493,0.0001,3.951393458212493e-05,0.0019466898810622812,5.551115123125783e-17,True,False
Q_A_topsis_0_1,freelaw,uspto_backgrounds,1,16,0.2819342427079474,0.0028193424270794745,0.005015903444573018,0.281934242705173,0.0001,2.8193424270295253e-05,0.0019466088466076966,5.551115123125783e-17,True,False
quality_score_soft_proxy_0_1,freelaw,uspto_backgrounds,1,16,0.22590592012605248,0.002259059201260525,0.0040191013054185565,0.22590592012594612,0.0001,2.2590592012594612e-05,0.0019466088466076966,5.551115123125783e-17,True,False
Q_A_topsis_0_1,nih_exporter,arxiv,2,0,-2.2754693322724293,-0.022754693322724295,-0.0053395864172009755,-2.2754693322690756,0.0001,-0.00022754693322690756,0.0018773708407163919,5.551115123125783e-17,True,False
quality_score_soft_proxy_0_1,nih_exporter,arxiv,2,0,-2.367262040375781,-0.02367262040375781,-0.005554985979144213,-2.367262040379181,0.0001,-0.0002367262040379181,0.0018773708407163919,5.551115123125783e-17,True,False
Q_A_topsis_0_1,nih_exporter,freelaw,2,1,-2.4287518357243787,-0.024287518357243788,-0.0056524424124082566,-2.4287518357235527,0.0001,-0.00024287518357235527,0.0018785352766212114,6.938893903907228e-17,True,False
quality_score_soft_proxy_0_1,nih_exporter,freelaw,2,1,-2.342659801058278,-0.02342659801058278,-0.005452080127155654,-2.342659801057856,0.0001,-0.0002342659801057856,0.0018785352766212114,6.938893903907228e-17,True,False
Q_A_topsis_0_1,nih_exporter,pubmed_central,2,3,-2.216119776078164,-0.02216119776078164,-0.0052019747426908045,-2.2161197760772744,0.0001,-0.00022161197760794948,0.0018777808980931644,4.163336342344337e-17,True,False
quality_score_soft_proxy_0_1,nih_exporter,pubmed_central,2,3,-2.2265839381148336,-0.022265839381148338,-0.005226537632840412,-2.226583938114146,0.0001,-0.0002226583938114146,0.0018777808980931644,4.163336342344337e-17,True,False
Q_A_topsis_0_1,nih_exporter,wikipedia_en,2,4,-2.1222896912130054,-0.021222896912130054,-0.004858515814510378,-2.122289691213197,0.0001,-0.00021222896912131972,0.001878163368355358,4.163336342344337e-17,True,False
quality_score_soft_proxy_0_1,nih_exporter,wikipedia_en,2,4,-1.8597604791663005,-0.018597604791663006,-0.004257512881790649,-1.8597604791681377,0.0001,-0.00018597604791681377,0.001878163368355358,4.163336342344337e-17,True,False
Q_A_topsis_0_1,nih_exporter,dm_mathematics,2,5,-0.8737352619285876,-0.008737352619285876,-0.001751912265923621,-0.8737352619281324,0.0001,-8.737352619281324e-05,0.0018766960722207562,5.551115123125783e-17,True,False
quality_score_soft_proxy_0_1,nih_exporter,dm_mathematics,2,5,-0.8946635860019279,-0.00894663586001928,-0.001793875305813278,-0.8946635860018759,0.0001,-8.946635860018759e-05,0.0018766960722207562,5.551115123125783e-17,True,False
Q_A_topsis_0_1,nih_exporter,github,2,6,-2.4972992393335467,-0.024972992393335468,-0.005854048091980587,-2.497299239334616,0.0001,-0.0002497299239334616,0.0018779831745015095,5.551115123125783e-17,True,False
quality_score_soft_proxy_0_1,nih_exporter,github,2,6,-2.116915341563949,-0.021169153415639488,-0.004962370556551347,-2.116915341567882,0.0001,-0.0002116915341567882,0.0018779831745015095,5.551115123125783e-17,True,False
Q_A_topsis_0_1,nih_exporter,philpapers,2,7,2.1158670430190725,0.021158670430190724,0.002519616336407703,2.115867043017694,0.0001,0.0002115867043017694,0.001871925373554902,5.551115123125783e-17,True,False
quality_score_soft_proxy_0_1,nih_exporter,philpapers,2,7,2.1152026560061694,0.021152026560061696,0.0025188251712081073,2.1152026560056214,0.0001,0.00021152026560056214,0.001871925373554902,5.551115123125783e-17,True,False
Q_A_topsis_0_1,nih_exporter,stackexchange,2,8,-1.988181432005336,-0.01988181432005336,-0.004634069827085999,-1.98818143200441,0.0001,-0.000198818143200441,0.0018777934430785365,6.938893903907228e-17,True,False
quality_score_soft_proxy_0_1,nih_exporter,stackexchange,2,8,-1.8069915505367578,-0.018069915505367577,-0.00421175094352217,-1.806991550536985,0.0001,-0.0001806991550536985,0.0018777934430785365,6.938893903907228e-17,True,False
Q_A_topsis_0_1,nih_exporter,enron_emails,2,9,2.31322493066895,0.023132249306689497,0.001558791029867608,2.3132249306678787,0.0001,0.00023132249306678787,0.0017578362837644063,6.938893903907228e-17,True,False
quality_score_soft_proxy_0_1,nih_exporter,enron_emails,2,9,2.42651219365054,0.024265121936505398,0.001635130847493077,2.426512193651753,0.0001,0.0002426512193651753,0.0017578362837644063,6.938893903907228e-17,True,False
Q_A_topsis_0_1,nih_exporter,gutenberg_pg_19,2,10,-1.9495844190645317,-0.019495844190645317,-0.0042764101532136965,-1.9495844190653422,0.0001,-0.00019495844190631217,0.0018762406549049497,5.551115123125783e-17,True,False
quality_score_soft_proxy_0_1,nih_exporter,gutenberg_pg_19,2,10,-1.9400574418656942,-0.019400574418656943,-0.004255512744707481,-1.940057441864873,0.0001,-0.0001940057441864873,0.0018762406549049497,5.551115123125783e-17,True,False
Q_A_topsis_0_1,nih_exporter,pile_cc,2,11,-2.1435068110328688,-0.02143506811032869,-0.005043440730307083,-2.143506811034257,0.0001,-0.0002143506811034257,0.0018777819745610712,5.551115123125783e-17,True,False
quality_score_soft_proxy_0_1,nih_exporter,pile_cc,2,11,-2.1306578987695177,-0.02130657898769518,-0.005013208623221825,-2.1306578987667635,0.0001,-0.00021306578987667635,0.0018777819745610712,5.551115123125783e-17,True,False
Q_A_topsis_0_1,nih_exporter,ubuntu_irc,2,12,0.04281564041461361,0.0004281564041461361,8.128158809697248e-05,0.042815640413085276,0.0001,4.281564041530572e-06,0.001874702237233954,5.551115123125783e-17,True,False
quality_score_soft_proxy_0_1,nih_exporter,ubuntu_irc,2,12,0.14796897033839085,0.0014796897033839086,0.0002809055938837056,0.14796897033431122,0.0001,1.4796897033431122e-05,0.001874702237233954,5.551115123125783e-17,True,False
Q_A_topsis_0_1,nih_exporter,europarl,2,13,-0.9807701555292846,-0.009807701555292847,-0.0016557611591372914,-0.9807701555319959,0.0001,-9.807701555297754e-05,0.0018783632209044756,5.551115123125783e-17,True,False
quality_score_soft_proxy_0_1,nih_exporter,europarl,2,13,-0.8437454803871594,-0.008437454803871593,-0.0014244326122145954,-0.8437454803855715,0.0001,-8.437454803855715e-05,0.0018783632209044756,5.551115123125783e-17,True,False
Q_A_topsis_0_1,nih_exporter,hackernews,2,14,-0.25426427082515013,-0.002542642708251501,-0.0004169634102058784,-0.254264270826976,0.0001,-2.5426427082475556e-05,0.0018679887118127746,6.938893903907228e-17,True,False
quality_score_soft_proxy_0_1,nih_exporter,hackernews,2,14,-0.14911094090137267,-0.0014911094090137268,-0.00024452435340393777,-0.14911094090130916,0.0001,-1.4911094090130916e-05,0.0018679887118127746,6.938893903907228e-17,True,False
Q_A_topsis_0_1,nih_exporter,pubmed_abstracts,2,15,-1.9370562931984945,-0.019370562931984945,-0.00439152233230829,-1.9370562931975144,0.0001,-0.00019370562931975144,0.00188104406067484,6.938893903907228e-17,True,False
quality_score_soft_proxy_0_1,nih_exporter,pubmed_abstracts,2,15,-1.9475204552351644,-0.019475204552351643,-0.004415245752961723,-1.9475204552366066,0.0001,-0.00019475204552366066,0.00188104406067484,6.938893903907228e-17,True,False
