check,comparisons,max_absolute_error,tolerance,passed
"derivative_quality_score_soft_proxy_0_1(1.0, 1.0)",1,7.415859037962491e-09,1.1222764819392165e-05,True
"equal_loss_path_quality_score_soft_proxy_0_1(1.0, 10.0)",51,4.440892098500626e-16,2e-10,True
"D_invariance_quality_score_soft_proxy_0_1(1.0, 10.0)",51,4.440892098500626e-16,2e-10,True
"brent_relative_quality_score_soft_proxy_0_1(1.0, 10.0)",51,2.275957200481571e-13,2e-10,True
"derivative_quality_score_soft_proxy_0_1(1.0, 10.0)",1,7.758735307561437e-07,0.0002455141028518141,True
"recipe_backsub_quality_score_soft_proxy_0_1(0.0, 0.0, 0.1)",512,0.0,2e-10,True
"scale_backsub_quality_score_soft_proxy_0_1(0.0, 0.0, 0.1)",512,0.0,2e-10,True
"recipe_backsub_quality_score_soft_proxy_0_1(0.0, 0.0, 1.0)",512,0.0,2e-10,True
"scale_backsub_quality_score_soft_proxy_0_1(0.0, 0.0, 1.0)",512,0.0,2e-10,True
"recipe_backsub_quality_score_soft_proxy_0_1(0.0, 0.0, 10.0)",512,0.0,2e-10,True
"scale_backsub_quality_score_soft_proxy_0_1(0.0, 0.0, 10.0)",512,0.0,2e-10,True
"recipe_backsub_quality_score_soft_proxy_0_1(0.0, 0.5, 0.1)",512,8.881784197001252e-16,2e-10,True
"scale_backsub_quality_score_soft_proxy_0_1(0.0, 0.5, 0.1)",512,8.881784197001252e-16,2e-10,True
"recipe_backsub_quality_score_soft_proxy_0_1(0.0, 0.5, 1.0)",512,8.881784197001252e-16,2e-10,True
"scale_backsub_quality_score_soft_proxy_0_1(0.0, 0.5, 1.0)",512,8.881784197001252e-16,2e-10,True
"recipe_backsub_quality_score_soft_proxy_0_1(0.0, 0.5, 10.0)",505,4.440892098500626e-16,2e-10,True
"scale_backsub_quality_score_soft_proxy_0_1(0.0, 0.5, 10.0)",489,4.440892098500626e-16,2e-10,True
"recipe_backsub_quality_score_soft_proxy_0_1(0.0, 1.0, 0.1)",512,8.881784197001252e-16,2e-10,True
"scale_backsub_quality_score_soft_proxy_0_1(0.0, 1.0, 0.1)",512,8.881784197001252e-16,2e-10,True
"recipe_backsub_quality_score_soft_proxy_0_1(0.0, 1.0, 1.0)",510,8.881784197001252e-16,2e-10,True
"scale_backsub_quality_score_soft_proxy_0_1(0.0, 1.0, 1.0)",496,8.881784197001252e-16,2e-10,True
"recipe_backsub_quality_score_soft_proxy_0_1(0.0, 1.0, 10.0)",415,4.440892098500626e-16,2e-10,True
"scale_backsub_quality_score_soft_proxy_0_1(0.0, 1.0, 10.0)",421,4.440892098500626e-16,2e-10,True
"recipe_backsub_quality_score_soft_proxy_0_1(0.5, 0.0, 0.1)",512,8.881784197001252e-16,2e-10,True
"scale_backsub_quality_score_soft_proxy_0_1(0.5, 0.0, 0.1)",512,8.881784197001252e-16,2e-10,True
"recipe_backsub_quality_score_soft_proxy_0_1(0.5, 0.0, 1.0)",512,8.881784197001252e-16,2e-10,True
"scale_backsub_quality_score_soft_proxy_0_1(0.5, 0.0, 1.0)",512,8.881784197001252e-16,2e-10,True
"recipe_backsub_quality_score_soft_proxy_0_1(0.5, 0.0, 10.0)",512,4.440892098500626e-16,2e-10,True
"scale_backsub_quality_score_soft_proxy_0_1(0.5, 0.0, 10.0)",512,4.440892098500626e-16,2e-10,True
"recipe_backsub_quality_score_soft_proxy_0_1(0.5, 0.5, 0.1)",512,8.881784197001252e-16,2e-10,True
"scale_backsub_quality_score_soft_proxy_0_1(0.5, 0.5, 0.1)",512,8.881784197001252e-16,2e-10,True
"recipe_backsub_quality_score_soft_proxy_0_1(0.5, 0.5, 1.0)",512,8.881784197001252e-16,2e-10,True
"scale_backsub_quality_score_soft_proxy_0_1(0.5, 0.5, 1.0)",512,8.881784197001252e-16,2e-10,True
"recipe_backsub_quality_score_soft_proxy_0_1(0.5, 0.5, 10.0)",495,4.440892098500626e-16,2e-10,True
