budget,context,axis,cost,scope,lambda_q,cost_coordinate,Q0,Q_star,Q_B_star,Q_upper,regime,predicted_loss,scale_loss,remaining_p,benefit_vs_same_recipe_no_processing,N_B,D_B,train_share,attention_share,quality_share,utilization,N_outside_B1,D_outside_B1,recipe
6.309573444801942e+23,2048,quality_score_soft_proxy_0_1,power,unrestricted,1.0,Q_B,0.4816880916292793,1.0,1.0,1.0,quality_upper,1.742959786417331,1.930586254026415,0.0,0.18680494861487573,33.36899909275255,2886.187146517755,0.9158385470860134,0.06252124481440519,0.021640208099581473,1.0,True,True,reference
7.94328234724279e+23,2048,quality_score_soft_proxy_0_1,power,unrestricted,1.0,Q_A,0.2214279307297116,0.4992687905775103,1.0,0.4992687905775103,map_saturation,1.7338503258653166,1.9214767934744006,0.0,0.18758061363716494,36.14988859273327,3423.755075156351,0.9348908357412378,0.0638218810532685,0.0012872832054936347,0.9999999999999998,True,True,reference
7.94328234724279e+23,2048,quality_score_soft_proxy_0_1,power,unrestricted,1.0,Q_B,0.4816880916292793,1.0,1.0,1.0,quality_upper,1.7345203417026758,1.9221468093117597,0.0,0.1869105977998058,36.935168950633376,3289.545867787626,0.9177561145596288,0.06265215075393732,0.019591734686433826,1.0,True,True,reference
1e+24,2048,quality_score_soft_proxy_0_1,power,unrestricted,1.0,Q_A,0.2214279307297116,0.4992687905775103,1.0,0.4992687905775103,map_saturation,1.7257999947674207,1.9134264623765047,0.0,0.18758657274323043,40.104686514357184,3885.7035109118146,0.9350095271571326,0.06382998372059358,0.0011604891222740667,1.0000000000000002,True,True,reference
1e+24,2048,quality_score_soft_proxy_0_1,power,unrestricted,1.0,Q_B,0.4816880916292793,1.0,1.0,1.0,quality_upper,1.7263838098169024,1.9140102774259864,0.0,0.18700275769374874,40.8916817230529,3747.702440468555,0.9194991323300924,0.06277114076706765,0.017729726902839905,0.9999999999999999,True,True,reference
1e+19,4096,quality_score_soft_proxy_0_1,power,unrestricted,1.0,Q_A,0.2214279307297116,0.4992687905775103,1.0,0.4992687905775103,map_saturation,2.8600899175837613,3.0477163851928455,0.0,0.15135302251140814,0.2581733755911343,4.85627372336117,0.7522563479728077,0.10270806670988734,0.14503558531730493,1.0,False,False,reference
1e+19,4096,quality_score_soft_proxy_0_1,power,unrestricted,1.0,Q_B,0.4816880916292793,0.5265010985984312,0.5265010985984312,1.0,interior,3.0102598338222,3.0264819311052698,0.0,0.0011831062729692476,0.23337981056332355,5.859954415501633,0.8205570308396896,0.11203338661064562,0.06740958254966486,1.0,False,False,reference
1.2589254117941713e+19,4096,quality_score_soft_proxy_0_1,power,unrestricted,1.0,Q_A,0.2214279307297116,0.4992687905775103,1.0,0.4992687905775103,map_saturation,2.809817338043277,2.9974438056523613,0.0,0.15572631408162385,0.2823335512798278,5.660775658787572,0.7617100487944739,0.10399881199540548,0.1342911392101208,1.0000000000000002,False,False,reference
1.2589254117941713e+19,4096,quality_score_soft_proxy_0_1,power,unrestricted,1.0,Q_B,0.4816880916292793,0.5673250290653928,0.5673250290653928,1.0,interior,2.961577386290246,2.9925775539663197,0.0,0.00396626583465487,0.27585127665727877,5.910801611945307,0.7770923465907101,0.10609900838785162,0.11680864502143837,1.0000000000000002,False,False,reference
1.5848931924611109e+19,4096,quality_score_soft_proxy_0_1,power,unrestricted,1.0,Q_A,0.2214279307297116,0.4992687905775103,1.0,0.4992687905775103,map_saturation,2.7616441268805434,2.9492705944896276,0.0,0.1595942689807508,0.3090465105826236,6.586963078473596,0.7706555739233355,0.10522017435966609,0.12412425171699851,1.0000000000000002,False,False,reference
1.5848931924611109e+19,4096,quality_score_soft_proxy_0_1,power,unrestricted,1.0,Q_B,0.4816880916292793,0.6102411513317485,0.6102411513317485,1.0,interior,2.9130678506322307,2.959603452270506,0.0,0.008170545229063464,0.3247717211980229,6.005893895068484,0.7384262259105957,0.10081979404432667,0.1607539800450774,0.9999999999999999,False,False,reference
1.9952623149688828e+19,4096,quality_score_soft_proxy_0_1,power,unrestricted,1.0,Q_A,0.2214279307297116,0.4992687905775103,1.0,0.4992687905775103,map_saturation,2.715460291932597,2.903086759541681,0.0,0.1630115204066267,0.3385952962188377,7.651704118593445,0.7790948598117897,0.10637241819296969,0.11453272199524052,1.0,False,False,reference
1.9952623149688828e+19,4096,quality_score_soft_proxy_0_1,power,unrestricted,1.0,Q_B,0.4816880916292793,0.6559062567360258,0.6559062567360258,1.0,interior,2.8647997551551585,2.9278659096933928,0.0,0.013672057184065167,0.3817194260168878,6.121820566888091,0.7027099591185366,0.09594333308498422,0.20134670779647926,1.0,False,False,reference
2.511886431509572e+19,4096,quality_score_soft_proxy_0_1,power,unrestricted,1.0,Q_A,0.2214279307297116,0.4992687905775103,1.0,0.4992687905775103,map_saturation,2.6711630694854285,2.8587895370945127,0.0,0.1660273956640177,0.37129418682263804,8.874088023565548,0.7870333439849369,0.10745628589874341,0.1055103701163196,0.9999999999999999,False,False,reference
2.511886431509572e+19,4096,quality_score_soft_proxy_0_1,power,unrestricted,1.0,Q_B,0.4816880916292793,0.7049742089662339,0.7049742089662339,1.0,interior,2.8167928732490393,2.897621395197864,0.0,0.02039759190040691,0.4486322906792949,6.2405139453809575,0.6687474476263975,0.09130631818259079,0.23994623419101177,1.0,False,False,reference
3.162277660168379e+19,4096,quality_score_soft_proxy_0_1,power,unrestricted,1.0,Q_A,0.2214279307297116,0.4992687905775103,1.0,0.4992687905775103,map_saturation,2.6286564287959497,2.816282896405034,0.0,0.16868634487438428,0.4074920770902553,10.275722531253667,0.7944796696266203,0.1084729575596879,0.09704737281369191,1.0000000000000002,False,False,reference
3.162277660168379e+19,4096,quality_score_soft_proxy_0_1,power,unrestricted,1.0,Q_B,0.4816880916292793,0.7581593286523888,0.7581593286523888,1.0,interior,2.769029580027568,2.8691108645985133,0.0,0.028313193642766077,0.5279702898944338,6.345918382328397,0.6357043994269512,0.08679484066842642,0.27750075990462236,1.0,False,False,reference
