task,branch,axis,fold,n_calibration_groups,n_calibration_rows,repetition,calibration_groups,model,intercept,slope,n,mae,rmse,r2,signed_error,spearman
B2,scale,none,0,4,588,2,cerebras_0.256B;cerebras_0.59B;cerebras_1.3B;cerebras_6.7B,affine,-1.3818165039812915,2.131541442938439,147,0.49237355551934814,0.5294091554225467,-0.313682338641448,0.42236314582908474,0.9973233092669779
B2,scale,none,0,4,588,2,cerebras_0.256B;cerebras_0.59B;cerebras_1.3B;cerebras_6.7B,mean,3.4417091836734692,0.0,147,0.37409434263501334,0.5942795609575636,-0.6553470292423129,-0.3739227891156464,
B2,scale,none,0,4,588,3,cerebras_0.256B;cerebras_0.59B;cerebras_13.0B;cerebras_2.7B,raw,0.0,1.0,147,1.1791307491242855,1.2435146236239525,-6.247851054585563,-1.1791307491242855,0.9973233092669779
B2,scale,none,0,4,588,3,cerebras_0.256B;cerebras_0.59B;cerebras_13.0B;cerebras_2.7B,offset,1.1784845453223374,1.0,147,0.265121956006986,0.3949426707961225,0.2689020206243504,-0.0006462038019483952,0.9973233092669779
B2,scale,none,0,4,588,3,cerebras_0.256B;cerebras_0.59B;cerebras_13.0B;cerebras_2.7B,affine,-0.8237682114828555,1.8955551350715871,147,0.4475348130417554,0.4904570769096786,-0.12748163596441553,0.3582332488684202,0.9973233092669779
B2,scale,none,0,4,588,3,cerebras_0.256B;cerebras_0.59B;cerebras_13.0B;cerebras_2.7B,mean,3.414251700680272,0.0,147,0.4013802721088435,0.6119281552519541,-0.7551261535482177,-0.4013802721088435,
B2,scale,none,0,4,588,4,cerebras_0.256B;cerebras_0.59B;cerebras_13.0B;cerebras_6.7B,raw,0.0,1.0,147,1.1791307491242855,1.2435146236239525,-6.247851054585563,-1.1791307491242855,0.9973233092669779
B2,scale,none,0,4,588,4,cerebras_0.256B;cerebras_0.59B;cerebras_13.0B;cerebras_6.7B,offset,1.1784335614294494,1.0,147,0.2651042677176167,0.39494275750658164,0.2689016995962461,-0.0006971876948363602,0.9973233092669779
B2,scale,none,0,4,588,4,cerebras_0.256B;cerebras_0.59B;cerebras_13.0B;cerebras_6.7B,affine,-0.5756203473287096,1.790475671927367,147,0.4285893752778198,0.4748087943909698,-0.05668361862410132,0.329338979860786,0.9973233092669779
B2,scale,none,0,4,588,4,cerebras_0.256B;cerebras_0.59B;cerebras_13.0B;cerebras_6.7B,mean,3.3974188775510203,0.0,147,0.4182130952380953,0.6230988183109631,-0.8197901975552049,-0.4182130952380953,
B2,scale,none,0,4,588,5,cerebras_0.256B;cerebras_0.59B;cerebras_2.7B;cerebras_6.7B,raw,0.0,1.0,147,1.1791307491242855,1.2435146236239525,-6.247851054585563,-1.1791307491242855,0.9973233092669779
B2,scale,none,0,4,588,5,cerebras_0.256B;cerebras_0.59B;cerebras_2.7B;cerebras_6.7B,offset,1.1787441975072799,1.0,147,0.26521203941808846,0.3949423313072091,0.2689032775133635,-0.00038655161700593116,0.9973233092669779
B2,scale,none,0,4,588,5,cerebras_0.256B;cerebras_0.59B;cerebras_2.7B;cerebras_6.7B,affine,-1.0948653602664424,2.0126898149551122,147,0.47409563920172654,0.5136255002171022,-0.23651850613164171,0.39596182693133525,0.9973233092669779
B2,scale,none,0,4,588,5,cerebras_0.256B;cerebras_0.59B;cerebras_2.7B;cerebras_6.7B,mean,3.4238636054421767,0.0,147,0.391768367346939,0.6056669035085015,-0.7193929865786068,-0.391768367346939,
B2,scale,none,0,4,588,6,cerebras_0.256B;cerebras_1.3B;cerebras_13.0B;cerebras_2.7B,raw,0.0,1.0,147,1.1791307491242855,1.2435146236239525,-6.247851054585563,-1.1791307491242855,0.9973233092669779
B2,scale,none,0,4,588,6,cerebras_0.256B;cerebras_1.3B;cerebras_13.0B;cerebras_2.7B,offset,1.1779422280804621,1.0,147,0.2649338051271517,0.3949439304743046,0.26889735691130845,-0.001188521043823703,0.9973233092669779
