task,branch,axis,model,fold,n,mae,rmse,r2,signed_error,spearman
A1B,connection,quality_score_soft_proxy_0_1,offset,3,13,0.10165191103850695,0.1269767658652642,-4.719192022503392,-0.05667384965030924,0.1868131868131868
A1B,connection,quality_score_soft_proxy_0_1,offset,4,12,0.23558461652853113,0.33059757026898196,-15.821713472355789,-0.16602636028339887,0.31468531468531474
A1B,connection,quality_score_soft_proxy_0_1,raw,0,13,3.2365850893780603,3.238059638158259,-8529.180058358046,3.2365850893780603,0.4175824175824176
A1B,connection,quality_score_soft_proxy_0_1,raw,1,13,3.2608210635425965,3.2610642821421414,-8027.280685954954,3.2608210635425965,0.6648351648351648
A1B,connection,quality_score_soft_proxy_0_1,raw,2,13,3.2828172898850734,3.283510329101341,-6119.975533318025,3.2828172898850734,0.4945054945054945
A1B,connection,quality_score_soft_proxy_0_1,raw,3,13,3.1583519256109396,3.160395237916573,-3541.982059295942,3.1583519256109396,0.1868131868131868
A1B,connection,quality_score_soft_proxy_0_1,raw,4,12,3.0686174818207683,3.0819057822871287,-1460.8729556225387,3.0686174818207683,0.31468531468531474
A1B,connection,quality_score_soft_proxy_0_1,selected,0,13,0.03166668522967335,0.04632345533211469,-0.7457835828375894,0.0058750572587072175,0.13736263736263735
A1B,connection,quality_score_soft_proxy_0_1,selected,1,13,0.03441388064020613,0.04841686248065698,-0.7696896628626275,-0.010413339923957996,0.16483516483516483
A1B,connection,quality_score_soft_proxy_0_1,selected,2,13,0.032401682610794166,0.0443434858967973,-0.11635810818290082,0.016883557465486507,0.42857142857142855
A1B,connection,quality_score_soft_proxy_0_1,selected,3,13,0.04504234291580177,0.060821332113711234,-0.31219389075141435,0.005363404948640882,0.13186813186813187
A1B,connection,quality_score_soft_proxy_0_1,selected,4,12,0.06360385286674253,0.10180454044569417,-0.5951635308812886,-0.04736838606707805,0.3846153846153847
A1B,full_mixture,none,affine,0,13,0.027781024370431267,0.03463250526141729,0.024210074997171982,0.011404974971893122,0.3681318681318681
A1B,full_mixture,none,affine,1,13,0.03029618067299962,0.0352099273158987,0.06409000432216627,-0.0052472282607711924,0.5714285714285714
A1B,full_mixture,none,affine,2,13,0.03564944186724784,0.040836519009272355,0.05323695108610049,0.001144027966987768,0.5164835164835164
A1B,full_mixture,none,affine,3,13,0.04233746668506763,0.05228610103680325,0.030252494091112858,0.0029742530508698973,0.12087912087912088
A1B,full_mixture,none,affine,4,12,0.06584845605091831,0.10188979743496988,-0.5978364133692982,-0.032680897928412,0.2797202797202798
A1B,full_mixture,none,mean,0,13,0.028851789616080755,0.036536106544629326,-0.08600804413998087,0.010281945081912202,
A1B,full_mixture,none,mean,1,13,0.03214452917612275,0.03721746697386094,-0.045676749992121124,-0.007778496907182062,
A1B,full_mixture,none,mean,2,13,0.0359875460973431,0.042021416651887834,-0.0025020029018523182,-0.0020992877404569874,
A1B,full_mixture,none,mean,3,13,0.04347685390358514,0.053366711075884886,-0.010245751954558013,0.00537438582352944,
A1B,full_mixture,none,mean,4,12,0.058834400096153816,0.0808389670131047,-0.005801843131787443,-0.006139705398915026,
A1B,full_mixture,none,offset,0,13,0.08716770533707521,0.10884501830368935,-8.638415082500337,0.04562923027729481,0.3681318681318681
A1B,full_mixture,none,offset,1,13,0.07438304799383716,0.08880128743498314,-4.953088691920583,0.07438304799383716,0.5714285714285714
A1B,full_mixture,none,offset,2,13,0.08173589820982102,0.09458685235257279,-4.0793181531018625,0.08173589820982102,0.5164835164835164
A1B,full_mixture,none,offset,3,13,0.10453979744962873,0.13061896126971848,-5.051995651007143,-0.056663563372695104,0.12087912087912088
A1B,full_mixture,none,offset,4,12,0.22836624368904934,0.32321249497029586,-15.078561822323916,-0.15415240142752207,0.2797202797202798
A1B,full_mixture,none,raw,0,13,3.226616680636727,3.2281295536451142,-8476.941658662752,3.226616680636727,0.3681318681318681
A1B,full_mixture,none,raw,1,13,3.2495298791295966,3.2498918853059195,-7972.365184543556,3.2495298791295966,0.5714285714285714
A1B,full_mixture,none,raw,2,13,3.255389181645458,3.2557371883424633,-6016.866517537578,3.255389181645458,0.5164835164835164
A1B,full_mixture,none,raw,3,13,3.1451021106968904,3.1473032647552612,-3512.689171459676,3.1451021106968904,0.12087912087912088
A1B,full_mixture,none,raw,4,12,3.065007061599646,3.0781441879312195,-1457.3065797601114,3.065007061599646,0.2797202797202798
A1B,full_mixture,none,selected,0,13,0.028851789616080755,0.036536106544629326,-0.08600804413998087,0.010281945081912202,
A1B,full_mixture,none,selected,1,13,0.03214452917612275,0.03721746697386094,-0.045676749992121124,-0.007778496907182062,
A1B,full_mixture,none,selected,2,13,0.0359875460973431,0.042021416651887834,-0.0025020029018523182,-0.0020992877404569874,
A1B,full_mixture,none,selected,3,13,0.04347685390358514,0.053366711075884886,-0.010245751954558013,0.00537438582352944,
A1B,full_mixture,none,selected,4,12,0.06584845605091831,0.10188979743496988,-0.5978364133692982,-0.032680897928412,0.2797202797202798
